security,trades,realized_pnl,position,market_dates,strategy_dates,error
EMAAR,0,0,0,0,0,A process in the process pool was terminated abruptly while the future was running or pending.
ALDAR,0,0,0,0,0,A process in the process pool was terminated abruptly while the future was running or pending.
ADNOCDRI,0,0,0,0,0,A process in the process pool was terminated abruptly while the future was running or pending.
ADNOCGAS,0,0,0,0,0,A process in the process pool was terminated abruptly while the future was running or pending.
ADNOCLS,0,0,0,0,0,A process in the process pool was terminated abruptly while the future was running or pending.
EAND,0,0,0,0,0,A process in the process pool was terminated abruptly while the future was running or pending.
ADCB,0,0,0,0,0,A process in the process pool was terminated abruptly while the future was running or pending.
ADIB,0,0,0,0,0,A process in the process pool was terminated abruptly while the future was running or pending.
EMIRATES,0,0,0,0,0,A process in the process pool was terminated abruptly while the future was running or pending.
TALABAT,0,0,0,0,0,A process in the process pool was terminated abruptly while the future was running or pending.
SPINNEYS,0,0,0,0,0,A process in the process pool was terminated abruptly while the future was running or pending.
FAB,0,0,0,0,0,A process in the process pool was terminated abruptly while the future was running or pending.
SALIK,0,0,0,0,0,A process in the process pool was terminated abruptly while the future was running or pending.
PARKIN,0,0,0,0,0,A process in the process pool was terminated abruptly while the future was running or pending.
MULTIPLY,0,0,0,0,0,A process in the process pool was terminated abruptly while the future was running or pending.
MODON,0,0,0,0,0,A process in the process pool was terminated abruptly while the future was running or pending.
