timestamp,side,fill_price,fill_qty,realized_pnl,position,pnl
2025-04-14 10:01:29,sell,2.67,7700,0,-7700,0
2025-04-14 10:05:21,buy,2.68,7700,-77,0,-77
2025-04-14 10:10:09,buy,2.69,7700,0,7700,-77
2025-04-14 10:17:31,sell,2.7,7700,77,0,0
2025-04-14 10:43:17,buy,2.68,6101,0,6101,0
2025-04-14 10:51:12,buy,2.68,7700,0,13801,0
2025-04-14 11:28:38,buy,2.69,1599,0,15400,0
2025-04-14 11:45:15,sell,2.7,859,16,14541,16
2025-04-14 11:54:03,sell,2.71,876,25,13665,42
2025-04-14 12:03:55,buy,2.71,449,0,14114,42
2025-04-14 12:05:51,buy,2.71,1286,0,15400,42
2025-04-14 12:06:08,sell,2.71,575,15,14825,56
2025-04-14 12:06:08,sell,2.71,7125,183,7700,240
2025-04-14 12:12:03,buy,2.7,7018,0,14718,240
2025-04-14 12:12:13,buy,2.7,682,0,15400,240
2025-04-14 13:29:29,sell,2.7,7700,60,7700,300
2025-04-14 13:32:54,sell,2.72,6,0,7694,300
2025-04-14 13:33:15,sell,2.72,7694,214,0,514
2025-04-14 13:38:22,sell,2.74,5000,0,-5000,514
2025-04-14 13:38:22,sell,2.74,2700,0,-7700,514
2025-04-14 13:47:51,sell,2.75,7700,0,-15400,514
2025-04-14 13:55:19,buy,2.74,50,0,-15350,515
2025-04-14 13:55:20,buy,2.75,7650,-38,-7700,476
2025-04-14 13:56:03,sell,2.76,50,0,-7750,476
2025-04-14 14:07:11,sell,2.76,7650,0,-15400,476
2025-04-14 14:07:33,buy,2.75,420,1,-14980,477
2025-04-14 14:08:08,buy,2.75,7280,18,-7700,496
2025-04-14 14:14:11,sell,2.75,100,0,-7800,496
2025-04-14 14:14:58,sell,2.76,5000,0,-12800,496
2025-04-14 14:16:01,sell,2.75,2600,0,-15400,496
2025-04-14 14:16:01,buy,2.75,455,2,-14945,498
2025-04-14 14:16:12,buy,2.75,7245,33,-7700,530
2025-04-14 14:21:32,sell,2.75,3740,0,-14428,530
2025-04-14 14:21:32,sell,2.75,2988,0,-10688,530
2025-04-14 14:22:35,sell,2.75,972,0,-15400,530
2025-04-14 14:23:22,buy,2.75,907,2,-14493,532
2025-04-14 14:23:38,buy,2.75,6793,15,-7700,548
2025-04-14 14:32:37,sell,2.75,2238,0,-9938,548
2025-04-14 14:55:00,buy,2.72,9938,315,0,863
