timestamp,side,fill_price,fill_qty,realized_pnl,position,pnl
2025-04-14 10:18:47,sell,1.52,2091,0,-2091,0
2025-04-14 10:23:28,sell,1.53,9700,0,-11791,0
2025-04-14 10:41:54,sell,1.52,1800,0,-13591,0
2025-04-14 10:42:16,sell,1.52,5095,0,-18686,0
2025-04-14 10:42:16,sell,1.52,714,0,-19400,0
2025-04-14 12:12:50,buy,1.53,8567,-43,-10833,-43
2025-04-14 12:12:50,buy,1.53,1133,-6,-9700,-49
2025-04-14 14:28:08,buy,1.53,3915,-20,-5785,-68
2025-04-14 14:28:08,buy,1.53,3251,-16,-2534,-84
2025-04-14 14:55:00,buy,1.53,2534,-13,0,-97
2025-04-15 12:25:58,sell,1.54,4730,0,-4925,-97
2025-04-15 12:25:58,sell,1.54,195,0,-195,-97
2025-04-15 12:26:11,sell,1.54,2302,0,-7227,-97
2025-04-15 12:26:33,sell,1.54,2473,0,-9700,-97
2025-04-15 14:55:00,buy,1.53,9700,97,0,0
2025-04-16 10:10:24,sell,1.53,8287,0,-8287,0
2025-04-16 14:55:00,buy,1.53,8287,0,0,0
2025-04-17 10:17:33,buy,1.52,1017,0,1017,0
2025-04-17 10:17:34,buy,1.52,2614,0,3631,0
2025-04-17 10:35:19,buy,1.52,9700,0,13331,0
2025-04-17 14:44:30,buy,1.5,6069,0,19400,0
2025-04-17 14:55:01,sell,1.52,19400,121,0,121
2025-04-21 10:39:35,buy,1.49,3360,0,3360,121
2025-04-21 12:50:37,sell,1.49,9700,0,-6340,121
2025-04-21 14:55:00,buy,1.48,6340,63,0,185
2025-04-23 10:15:54,sell,1.5,5,0,-5,185
2025-04-23 14:55:00,buy,1.5,5,0,0,185
2025-04-24 14:35:58,buy,1.47,2849,0,2849,185
2025-04-24 14:35:58,buy,1.47,4218,0,7067,185
2025-04-24 14:35:59,buy,1.47,2633,0,9700,185
2025-04-24 14:55:00,sell,1.48,9700,97,0,282
2025-04-28 11:30:06,buy,1.48,195,0,195,282
2025-04-28 11:30:06,buy,1.48,9505,0,9700,282
2025-04-28 12:04:15,sell,1.49,967,10,8733,291
2025-04-28 12:04:15,sell,1.49,1033,10,7700,302
2025-04-28 12:06:16,sell,1.48,7700,0,0,302
2025-04-28 12:31:42,buy,1.47,3410,0,3410,302
2025-04-28 12:31:42,buy,1.47,6290,0,9700,302
2025-04-28 12:40:47,buy,1.46,4065,0,13765,302
2025-04-28 12:43:06,buy,1.47,5000,0,18765,302
2025-04-28 12:43:08,buy,1.47,635,0,19400,302
2025-04-28 12:44:19,sell,1.48,5,0,19395,302
2025-04-28 12:46:14,sell,1.47,9695,20,9700,322
2025-04-28 12:48:03,buy,1.46,5,0,9705,322
2025-04-28 13:18:56,buy,1.46,6138,0,15843,322
2025-04-28 13:18:56,buy,1.46,3557,0,19400,322
2025-04-28 14:02:15,sell,1.46,1572,-6,17828,316
2025-04-28 14:33:29,sell,1.45,4944,-69,8328,138
2025-04-28 14:33:29,sell,1.44,4556,-109,13272,207
2025-04-28 14:42:35,buy,1.43,9700,0,18028,138
2025-04-28 14:44:51,sell,1.45,3103,13,14925,151
2025-04-28 14:55:00,sell,1.45,14925,64,0,216
2025-04-29 10:00:00,sell,1.45,300,0,-300,216
2025-04-29 10:00:00,sell,1.45,140,0,-440,216
2025-04-29 10:00:00,sell,1.45,560,0,-1000,216
2025-04-29 10:00:00,sell,1.45,644,0,-1644,216
2025-04-29 10:00:27,sell,1.45,4953,0,-6597,216
2025-04-29 10:08:48,sell,1.47,5000,0,-11597,216
2025-04-29 10:08:48,sell,1.48,4700,0,-16297,216
2025-04-29 10:16:34,sell,1.48,3103,0,-19400,216
2025-04-29 10:43:20,buy,1.46,1008,7,-13392,259
2025-04-29 10:43:20,buy,1.46,5000,36,-14400,252
2025-04-29 13:55:58,sell,1.45,195,0,-13587,259
2025-04-29 13:56:04,sell,1.45,3117,0,-16704,259
2025-04-29 13:56:12,sell,1.45,2696,0,-19400,259
2025-04-29 14:25:36,buy,1.45,4981,59,-14419,318
2025-04-29 14:25:48,buy,1.45,4719,56,-9700,374
2025-04-29 14:25:48,sell,1.45,4981,0,-14681,374
2025-04-29 14:55:00,buy,1.45,14681,115,0,490
2025-04-30 10:19:03,sell,1.47,689,0,-689,490
2025-04-30 10:19:03,sell,1.47,9011,0,-9700,490
2025-04-30 12:35:52,buy,1.44,2787,84,0,781
2025-04-30 12:35:52,buy,1.44,6500,195,-2787,697
2025-04-30 12:35:52,buy,1.44,413,12,-9287,502
2025-04-30 13:55:10,buy,1.45,5000,0,5000,781
2025-04-30 13:55:10,buy,1.45,195,0,5195,781
2025-04-30 13:55:10,buy,1.45,195,0,5390,781
2025-04-30 13:55:10,buy,1.45,4310,0,9700,781
2025-04-30 14:55:01,sell,1.44,9700,-97,0,684
2025-05-01 10:48:36,sell,1.46,9700,0,-9700,684
2025-05-01 13:25:13,sell,1.48,4605,0,-14305,684
2025-05-01 13:39:12,buy,1.47,4000,-14,-10305,669
2025-05-01 13:40:12,buy,1.47,4000,-14,-6305,655
2025-05-01 13:41:12,buy,1.47,921,-3,-4605,649
2025-05-01 13:41:12,buy,1.47,779,-3,-5526,652
2025-05-01 13:55:00,sell,1.47,1936,0,-6541,649
2025-05-01 13:55:15,sell,1.47,7764,0,-14305,649
2025-05-01 14:28:08,sell,1.47,5095,0,-19400,649
2025-05-01 14:55:00,buy,1.48,19400,-210,0,439
2025-05-02 14:14:44,sell,1.48,9700,0,-9700,439
2025-05-02 14:19:00,sell,1.49,4726,0,-14426,439
