event_num,timestamp,date,event_type,event_price,event_volume,ob_best_bid_price,ob_best_bid_qty,ob_best_ask_price,ob_best_ask_qty,in_opening_auction,in_silent_period,in_closing_auction,should_quote_bid,should_quote_ask,quote_bid_price,quote_bid_size,quote_ask_price,quote_ask_size,fill_side,fill_qty,fill_price,position,entry_price,realized_pnl,notes
1,2025-04-14 08:00:00,2025-04-14,ASK,12.15,0.0,,,,,False,False,False,True,True,,,,,,,,0,0.0,0.0,
2,2025-04-14 08:00:00,2025-04-14,ASK,12.15,38400.0,,,12.15,38400.0,False,False,False,True,True,,,12.15,32300.0,,,,0,0.0,0.0,
3,2025-04-14 08:00:00,2025-04-14,BID,12.0,0.0,,,12.15,38400.0,False,False,False,True,True,,,12.15,32300.0,,,,0,0.0,0.0,
4,2025-04-14 08:00:00,2025-04-14,BID,12.0,1417.0,12.0,1417.0,12.15,38400.0,False,False,False,True,True,12.0,32300.0,12.15,32300.0,,,,0,0.0,0.0,
5,2025-04-14 09:30:01,2025-04-14,ASK,12.0,55.0,12.0,1417.0,12.0,55.0,True,False,False,True,True,12.0,32300.0,12.0,,,,,0,0.0,0.0,
6,2025-04-14 09:30:01,2025-04-14,BID,12.0,2417.0,12.0,2417.0,12.0,55.0,True,False,False,True,True,12.0,32300.0,12.0,,,,,0,0.0,0.0,
7,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,50.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
8,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,334.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
9,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,2016.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
10,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,134.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
11,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,988.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
12,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,953.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
13,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,450.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
14,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,440.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
15,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,417.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
16,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,1000.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
17,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,752.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
18,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,4849.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
19,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,450.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
20,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,3346.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
21,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,3148.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
22,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,10000.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
23,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,8297.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
24,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,55.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
25,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,3.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
26,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,400.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
27,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,966.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
28,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,3346.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
29,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,3148.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
30,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,415.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
31,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,3321.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
32,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,1601.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
33,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,20000.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
34,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,5203.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
35,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,2907.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
36,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,5342.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
37,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,500.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
38,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,2000.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
39,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,3091.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
40,2025-04-14 10:00:00,2025-04-14,TRADE,12.25,16909.0,,,,,False,True,False,False,False,,,,,,,,0,0.0,0.0,Silent period - skipped
