timestamp,side,fill_price,fill_qty,realized_pnl,position,pnl,security
2025-04-14 10:12:36,sell,12.25,3739,0,-3739,0,EMAAR
2025-04-14 10:12:36,sell,12.25,6160,0,-9899,0,EMAAR
2025-04-14 10:16:45,buy,12.25,32300,0,22401,0,EMAAR
2025-04-14 10:17:37,sell,12.25,13338,0,9063,0,EMAAR
2025-04-14 10:17:37,sell,12.25,11602,0,-2539,0,EMAAR
2025-04-14 10:17:37,sell,12.25,152,0,-2691,0,EMAAR
2025-04-14 10:17:37,sell,12.25,5983,0,-8674,0,EMAAR
2025-04-14 10:25:46,sell,12.15,367,0,-9041,0,EMAAR
2025-04-14 10:25:56,sell,12.15,1900,0,-10941,0,EMAAR
2025-04-14 10:26:12,sell,12.15,550,0,-11491,0,EMAAR
2025-04-14 10:26:37,sell,12.15,3616,0,-15107,0,EMAAR
2025-04-14 10:26:37,sell,12.15,25867,0,-40974,0,EMAAR
2025-04-14 10:30:25,buy,12.2,3738,-108,-37236,-108,EMAAR
2025-04-14 10:38:31,sell,12.15,5442,0,-42678,-108,EMAAR
2025-04-14 10:38:31,sell,12.15,12910,0,-55588,-108,EMAAR
2025-04-14 10:38:31,sell,12.15,168,0,-55756,-108,EMAAR
2025-04-14 10:38:31,sell,12.15,3211,0,-58967,-108,EMAAR
2025-04-14 10:38:31,sell,12.15,434,0,-59401,-108,EMAAR
2025-04-14 10:38:42,sell,12.15,5199,0,-64600,-108,EMAAR
2025-04-14 10:39:23,buy,12.15,17964,219,-46636,111,EMAAR
2025-04-14 10:39:23,buy,12.15,7036,86,-39600,197,EMAAR
2025-04-14 10:39:24,buy,12.15,5423,66,-34177,263,EMAAR
2025-04-14 10:39:24,buy,12.15,1877,23,-32300,286,EMAAR
2025-04-14 10:43:00,sell,12.15,5868,0,-38168,286,EMAAR
2025-04-14 10:43:00,sell,12.15,5932,0,-44100,286,EMAAR
2025-04-14 10:43:31,sell,12.15,40,0,-44140,286,EMAAR
2025-04-14 10:47:53,sell,12.15,420,0,-44560,286,EMAAR
2025-04-14 10:48:50,sell,12.15,1555,0,-46115,286,EMAAR
2025-04-14 10:49:42,sell,12.15,11671,0,-57786,286,EMAAR
2025-04-14 10:49:42,sell,12.15,3329,0,-61115,286,EMAAR
2025-04-14 10:53:48,sell,12.15,30,0,-61145,286,EMAAR
2025-04-14 10:58:42,sell,12.15,2704,0,-63849,286,EMAAR
2025-04-14 10:58:47,sell,12.15,74,0,-63923,286,EMAAR
2025-04-14 10:58:47,sell,12.15,677,0,-64600,286,EMAAR
2025-04-14 12:37:15,buy,12.2,9227,-405,-55373,-119,EMAAR
2025-04-14 12:38:42,sell,12.2,665,0,-56038,-119,EMAAR
2025-04-14 12:38:42,sell,12.2,1614,0,-57652,-119,EMAAR
2025-04-14 12:38:45,sell,12.2,6808,0,-64460,-119,EMAAR
2025-04-14 12:41:15,sell,12.2,140,0,-64600,-119,EMAAR
2025-04-14 13:03:11,buy,12.2,367,-14,-64233,-132,EMAAR
2025-04-14 13:03:11,buy,12.2,490,-18,-63743,-151,EMAAR
2025-04-14 13:03:11,buy,12.2,637,-24,-63106,-175,EMAAR
2025-04-14 13:03:11,buy,12.2,929,-35,-62177,-210,EMAAR
2025-04-14 13:03:11,buy,12.2,1060,-40,-61117,-250,EMAAR
2025-04-14 13:03:11,buy,12.2,1199,-45,-59918,-295,EMAAR
2025-04-14 13:03:11,buy,12.2,1309,-49,-58609,-344,EMAAR
2025-04-14 13:04:37,buy,12.2,318,-12,-58291,-356,EMAAR
2025-04-14 13:04:37,buy,12.2,259,-10,-58032,-366,EMAAR
2025-04-14 13:04:48,buy,12.2,1531,-58,-56501,-423,EMAAR
2025-04-14 13:04:48,buy,12.2,1598,-60,-54903,-484,EMAAR
2025-04-14 13:06:23,buy,12.2,1613,-61,-53290,-544,EMAAR
2025-04-14 13:06:23,buy,12.2,5179,-195,-48111,-739,EMAAR
2025-04-14 13:06:23,buy,12.2,1208,-45,-46903,-785,EMAAR
2025-04-14 13:06:36,buy,12.2,100,-4,-46803,-788,EMAAR
2025-04-14 13:06:59,buy,12.2,625,-24,-46178,-812,EMAAR
2025-04-14 13:07:02,buy,12.2,4297,-162,-41881,-974,EMAAR
2025-04-14 13:07:02,buy,12.2,2195,-83,-39686,-1056,EMAAR
2025-04-14 13:08:52,buy,12.2,207,-8,-39479,-1064,EMAAR
2025-04-14 13:09:06,buy,12.2,5794,-218,-33685,-1282,EMAAR
2025-04-14 13:10:42,buy,12.2,786,-30,-32899,-1312,EMAAR
2025-04-14 13:10:42,buy,12.2,599,-23,-32300,-1334,EMAAR
2025-04-14 13:20:15,buy,12.2,285,-11,-32015,-1345,EMAAR
2025-04-14 13:20:15,buy,12.2,65,-2,-31950,-1347,EMAAR
2025-04-14 13:20:58,buy,12.2,302,-11,-31648,-1359,EMAAR
2025-04-14 13:20:58,buy,12.2,490,-18,-31158,-1377,EMAAR
2025-04-14 13:20:58,buy,12.2,637,-24,-30521,-1401,EMAAR
2025-04-14 13:20:58,buy,12.2,929,-35,-29592,-1436,EMAAR
2025-04-14 13:20:58,buy,12.2,1060,-40,-28532,-1476,EMAAR
2025-04-14 13:20:58,buy,12.2,1199,-45,-27333,-1521,EMAAR
2025-04-14 13:20:58,buy,12.2,1627,-61,-25706,-1582,EMAAR
2025-04-14 13:20:58,buy,12.2,220,-8,-25486,-1590,EMAAR
2025-04-14 13:21:45,buy,12.2,403,-15,-25083,-1606,EMAAR
2025-04-14 13:25:17,buy,12.2,1167,-44,-23916,-1650,EMAAR
2025-04-14 13:25:17,buy,12.2,3211,-121,-20705,-1770,EMAAR
2025-04-14 13:25:17,buy,12.2,2257,-85,-18448,-1855,EMAAR
2025-04-14 13:27:22,buy,12.2,2922,-110,-15526,-1965,EMAAR
2025-04-14 13:27:22,buy,12.2,128,-5,-15398,-1970,EMAAR
2025-04-14 13:27:24,buy,12.2,644,-24,-14754,-1994,EMAAR
2025-04-14 13:35:56,buy,12.2,5000,-188,-9754,-2182,EMAAR
2025-04-14 13:36:33,buy,12.2,458,-17,-9296,-2200,EMAAR
2025-04-14 13:36:33,buy,12.2,5319,-200,-3977,-2400,EMAAR
2025-04-14 13:37:13,buy,12.2,3663,-138,-314,-2538,EMAAR
2025-04-14 13:37:13,buy,12.2,1837,-12,1523,-2549,EMAAR
2025-04-14 13:38:23,buy,12.2,4579,0,6102,-2549,EMAAR
2025-04-14 13:39:34,buy,12.2,6130,0,12232,-2549,EMAAR
2025-04-14 13:40:09,buy,12.2,80,0,12312,-2549,EMAAR
2025-04-14 13:41:24,buy,12.2,3,0,12315,-2549,EMAAR
2025-04-14 13:41:33,buy,12.2,300,0,12615,-2549,EMAAR
2025-04-14 13:43:10,buy,12.2,4931,0,17546,-2549,EMAAR
2025-04-14 14:04:53,sell,12.25,5350,267,12196,-2282,EMAAR
2025-04-14 14:04:53,sell,12.25,4579,229,7617,-2053,EMAAR
2025-04-14 14:04:53,sell,12.25,3056,153,4561,-1900,EMAAR
2025-04-14 14:04:54,sell,12.25,2868,143,1693,-1757,EMAAR
2025-04-14 14:04:54,sell,12.25,76,4,1617,-1753,EMAAR
2025-04-14 14:04:54,sell,12.25,7138,81,-5521,-1672,EMAAR
2025-04-14 14:04:56,sell,12.3,9233,0,-14754,-1672,EMAAR
2025-04-14 14:04:57,buy,12.25,15000,462,246,-1211,EMAAR
2025-04-14 14:09:42,buy,12.25,3781,0,4027,-1211,EMAAR
2025-04-14 14:18:52,buy,12.3,10982,0,15009,-1211,EMAAR
2025-04-14 14:18:52,buy,12.3,21318,0,36327,-1211,EMAAR
2025-04-14 14:19:17,sell,12.3,1051,6,35276,-1205,EMAAR
2025-04-14 14:19:17,sell,12.3,4169,23,31107,-1182,EMAAR
2025-04-14 14:19:17,sell,12.3,26040,144,5067,-1037,EMAAR
2025-04-14 14:20:05,sell,12.3,1040,6,4027,-1032,EMAAR
2025-04-14 14:22:11,buy,12.3,2238,0,6265,-1032,EMAAR
2025-04-14 14:22:11,buy,12.3,21262,0,27527,-1032,EMAAR
2025-04-14 14:22:16,buy,12.3,1500,0,29027,-1032,EMAAR
2025-04-14 14:22:19,buy,12.3,1368,0,30395,-1032,EMAAR
2025-04-14 14:22:19,buy,12.3,5932,0,36327,-1032,EMAAR
2025-04-14 14:30:47,sell,12.3,20,0,36307,-1032,EMAAR
2025-04-14 14:30:47,sell,12.3,5927,4,30380,-1028,EMAAR
2025-04-14 14:30:47,sell,12.3,5821,4,24559,-1024,EMAAR
2025-04-14 14:30:47,sell,12.3,139,0,24420,-1024,EMAAR
2025-04-14 14:30:47,sell,12.3,5728,4,18692,-1021,EMAAR
2025-04-14 14:30:47,sell,12.3,95,0,18597,-1021,EMAAR
2025-04-14 14:30:47,sell,12.3,3159,2,15438,-1019,EMAAR
2025-04-14 14:30:47,sell,12.3,2751,2,12687,-1017,EMAAR
2025-04-14 14:30:47,sell,12.3,127,0,12560,-1017,EMAAR
2025-04-14 14:30:47,sell,12.3,3352,2,9208,-1015,EMAAR
2025-04-14 14:30:47,sell,12.3,1060,1,8148,-1014,EMAAR
2025-04-14 14:30:47,sell,12.3,1372,1,6776,-1013,EMAAR
2025-04-14 14:30:47,sell,12.3,2749,2,4027,-1012,EMAAR
2025-04-14 14:37:22,buy,12.3,1968,0,5995,-1012,EMAAR
2025-04-14 14:37:22,buy,12.3,702,0,6697,-1012,EMAAR
2025-04-14 14:38:28,buy,12.3,622,0,7319,-1012,EMAAR
2025-04-14 14:39:46,buy,12.3,1,0,7320,-1012,EMAAR
2025-04-14 14:39:46,buy,12.3,1,0,7321,-1012,EMAAR
2025-04-14 14:41:22,buy,12.3,3259,0,10580,-1012,EMAAR
2025-04-14 14:41:22,buy,12.3,8604,0,19184,-1012,EMAAR
2025-04-14 14:41:22,buy,12.3,4536,0,23720,-1012,EMAAR
2025-04-14 14:41:22,buy,12.3,5736,0,29456,-1012,EMAAR
2025-04-14 14:41:22,buy,12.3,6871,0,36327,-1012,EMAAR
2025-04-14 14:43:23,sell,12.35,5104,256,31223,-756,EMAAR
2025-04-14 14:43:23,sell,12.35,6187,310,25036,-446,EMAAR
2025-04-14 14:43:23,sell,12.35,74,4,24962,-443,EMAAR
2025-04-14 14:43:31,sell,12.35,6494,325,18468,-118,EMAAR
2025-04-14 14:43:31,sell,12.35,373,19,18095,-99,EMAAR
2025-04-14 14:43:42,sell,12.35,3370,169,14725,70,EMAAR
2025-04-14 14:43:52,sell,12.35,1506,75,13219,145,EMAAR
2025-04-14 14:44:12,sell,12.35,4152,208,9067,353,EMAAR
2025-04-14 14:44:24,sell,12.35,3040,152,6027,505,EMAAR
2025-04-14 14:44:37,sell,12.35,2000,100,4027,606,EMAAR
2025-04-14 14:55:00,sell,12.2,4027,-402,0,203,EMAAR
2025-04-15 10:06:41,sell,12.2,1203,0,-1203,203,EMAAR
2025-04-15 10:08:14,sell,12.2,500,0,-1703,203,EMAAR
2025-04-15 10:09:28,sell,12.2,818,0,-2521,203,EMAAR
2025-04-15 10:09:28,sell,12.2,3487,0,-6008,203,EMAAR
2025-04-15 10:09:28,sell,12.2,3967,0,-9975,203,EMAAR
2025-04-15 10:09:28,sell,12.2,11434,0,-21409,203,EMAAR
2025-04-15 10:09:28,sell,12.2,1269,0,-22678,203,EMAAR
2025-04-15 10:09:28,sell,12.2,9622,0,-32300,203,EMAAR
2025-04-15 10:09:28,buy,12.2,32300,0,0,203,EMAAR
2025-04-15 10:15:05,buy,12.2,5000,0,5000,203,EMAAR
2025-04-15 10:27:04,buy,12.2,13136,0,18136,203,EMAAR
2025-04-15 10:27:04,buy,12.2,249,0,18385,203,EMAAR
2025-04-15 10:27:04,buy,12.2,1060,0,19445,203,EMAAR
2025-04-15 10:27:04,buy,12.2,1206,0,20651,203,EMAAR
2025-04-15 10:27:04,buy,12.2,3477,0,24128,203,EMAAR
2025-04-15 10:27:04,buy,12.2,4901,0,29029,203,EMAAR
2025-04-15 10:27:04,buy,12.2,8271,0,37300,203,EMAAR
2025-04-15 10:27:33,sell,12.2,15619,0,21681,203,EMAAR
2025-04-15 10:27:33,sell,12.2,16681,0,5000,203,EMAAR
2025-04-15 10:44:16,sell,12.2,19700,0,-14700,203,EMAAR
2025-04-15 11:14:39,sell,12.25,6712,0,-21412,203,EMAAR
2025-04-15 11:14:39,sell,12.25,462,0,-21874,203,EMAAR
2025-04-15 11:14:39,sell,12.25,3072,0,-24946,203,EMAAR
2025-04-15 11:14:39,buy,12.2,8247,169,-16699,372,EMAAR
2025-04-15 11:14:39,buy,12.2,20000,343,3301,715,EMAAR
2025-04-15 11:14:39,buy,12.2,249,0,3550,715,EMAAR
2025-04-15 11:14:39,buy,12.2,1060,0,4610,715,EMAAR
2025-04-15 11:14:39,buy,12.2,1206,0,5816,715,EMAAR
2025-04-15 11:14:39,buy,12.2,1538,0,7354,715,EMAAR
2025-04-15 11:14:43,sell,12.25,1000,50,6354,765,EMAAR
2025-04-15 11:14:43,sell,12.25,5535,277,819,1042,EMAAR
2025-04-15 11:14:43,sell,12.25,71,4,748,1046,EMAAR
2025-04-15 11:14:43,sell,12.25,15448,37,-14700,1083,EMAAR
2025-04-15 11:33:23,buy,12.25,1,0,-14699,1083,EMAAR
2025-04-15 11:33:23,buy,12.25,4081,0,-10618,1083,EMAAR
2025-04-15 11:33:23,buy,12.25,16064,0,5446,1083,EMAAR
2025-04-15 11:33:23,buy,12.25,3159,0,8605,1083,EMAAR
2025-04-15 11:33:23,buy,12.25,1448,0,10053,1083,EMAAR
2025-04-15 11:33:26,buy,12.25,3303,0,13356,1083,EMAAR
2025-04-15 11:33:26,buy,12.25,3994,0,17350,1083,EMAAR
2025-04-15 11:33:26,buy,12.25,250,0,17600,1083,EMAAR
2025-04-15 11:40:36,sell,12.25,1009,0,16591,1083,EMAAR
2025-04-15 11:40:36,sell,12.25,1285,0,15306,1083,EMAAR
2025-04-15 11:40:36,sell,12.25,22849,0,-7543,1083,EMAAR
2025-04-15 11:44:01,sell,12.25,11641,0,-19184,1083,EMAAR
2025-04-15 11:44:54,sell,12.25,3290,0,-22474,1083,EMAAR
2025-04-15 11:45:13,sell,12.25,4553,0,-27027,1083,EMAAR
2025-04-15 11:45:13,sell,12.25,12816,0,-39843,1083,EMAAR
2025-04-15 12:12:49,sell,12.3,14547,0,-54390,1083,EMAAR
2025-04-15 12:12:49,sell,12.3,4226,0,-58616,1083,EMAAR
2025-04-15 12:12:49,sell,12.3,4237,0,-62853,1083,EMAAR
2025-04-15 12:12:49,sell,12.3,1747,0,-64600,1083,EMAAR
2025-04-15 12:16:27,buy,12.35,584,-47,-64016,1036,EMAAR
2025-04-15 12:16:27,buy,12.35,3146,-254,-60870,782,EMAAR
2025-04-15 12:16:27,buy,12.35,3171,-256,-57699,525,EMAAR
2025-04-15 12:16:27,buy,12.35,3159,-255,-54540,270,EMAAR
2025-04-15 12:16:27,buy,12.35,3159,-255,-51381,14,EMAAR
2025-04-15 12:16:27,buy,12.35,3146,-254,-48235,-240,EMAAR
2025-04-15 12:16:27,buy,12.35,3544,-286,-44691,-526,EMAAR
2025-04-15 12:16:27,buy,12.35,3171,-256,-41520,-783,EMAAR
2025-04-15 12:16:27,buy,12.35,4937,-399,-36583,-1182,EMAAR
2025-04-15 12:16:27,buy,12.35,3159,-255,-33424,-1437,EMAAR
2025-04-15 12:16:27,buy,12.35,1124,-91,-32300,-1528,EMAAR
2025-04-15 12:24:53,buy,12.3,8450,-261,-23850,-1789,EMAAR
2025-04-15 12:24:54,buy,12.3,2427,-75,-21423,-1863,EMAAR
2025-04-15 12:24:54,buy,12.3,530,-16,-20893,-1880,EMAAR
2025-04-15 12:24:54,buy,12.3,4673,-144,-16220,-2024,EMAAR
2025-04-15 12:24:54,buy,12.3,2327,-72,-13893,-2096,EMAAR
2025-04-15 12:24:54,buy,12.3,990,-31,-12903,-2126,EMAAR
2025-04-15 12:24:54,buy,12.3,3159,-97,-9744,-2224,EMAAR
2025-04-15 12:24:54,buy,12.3,7820,-241,-1924,-2465,EMAAR
2025-04-15 12:32:34,sell,12.3,8675,0,-10599,-2465,EMAAR
2025-04-15 12:34:57,sell,12.3,3000,0,-13599,-2465,EMAAR
2025-04-15 12:35:25,sell,12.3,1014,0,-14613,-2465,EMAAR
2025-04-15 12:35:25,sell,12.3,584,0,-15197,-2465,EMAAR
2025-04-15 12:35:25,sell,12.3,452,0,-15649,-2465,EMAAR
2025-04-15 12:35:25,sell,12.3,18575,0,-34224,-2465,EMAAR
2025-04-15 12:56:51,buy,12.35,584,-30,-33640,-2495,EMAAR
2025-04-15 12:56:51,buy,12.35,3159,-163,-30481,-2658,EMAAR
2025-04-15 12:56:51,buy,12.35,2215,-115,-28266,-2773,EMAAR
2025-04-15 12:57:36,buy,12.35,250,-13,-28016,-2786,EMAAR
2025-04-15 12:58:38,buy,12.35,681,-35,-27335,-2821,EMAAR
2025-04-15 12:58:38,buy,12.35,3146,-163,-24189,-2984,EMAAR
2025-04-15 12:58:38,buy,12.35,3146,-163,-21043,-3147,EMAAR
2025-04-15 12:58:38,buy,12.35,3146,-163,-17897,-3309,EMAAR
2025-04-15 12:58:38,buy,12.35,12,-1,-17885,-3310,EMAAR
2025-04-15 13:00:01,buy,12.35,231,-12,-17654,-3322,EMAAR
2025-04-15 13:02:17,buy,12.35,1286,-67,-16368,-3388,EMAAR
2025-04-15 13:03:43,buy,12.35,3656,-189,-12712,-3578,EMAAR
2025-04-15 13:03:43,buy,12.35,3304,-171,-9408,-3749,EMAAR
2025-04-15 13:03:43,buy,12.35,5060,-262,-4348,-4010,EMAAR
2025-04-15 13:03:43,buy,12.35,2385,-123,-1963,-4134,EMAAR
2025-04-15 13:03:43,buy,12.35,39,-2,-1924,-4136,EMAAR
2025-04-15 13:05:34,sell,12.4,15105,0,-17029,-4136,EMAAR
2025-04-15 13:05:34,sell,12.4,9000,0,-26029,-4136,EMAAR
2025-04-15 13:05:34,sell,12.4,650,0,-26679,-4136,EMAAR
2025-04-15 13:05:34,sell,12.4,7545,0,-34224,-4136,EMAAR
2025-04-15 13:13:30,sell,12.4,400,0,-34624,-4136,EMAAR
2025-04-15 13:13:30,sell,12.4,4555,0,-39179,-4136,EMAAR
2025-04-15 13:13:30,sell,12.4,4800,0,-43979,-4136,EMAAR
2025-04-15 13:13:30,sell,12.4,5410,0,-49389,-4136,EMAAR
2025-04-15 13:13:30,sell,12.4,590,0,-49979,-4136,EMAAR
2025-04-15 13:13:30,sell,12.4,2889,0,-52868,-4136,EMAAR
2025-04-15 13:13:30,sell,12.4,200,0,-53068,-4136,EMAAR
