strategy,v2,v2_1
interval_sec,60,60
security,,
ADCB,-205282.3199999989,-213707.81999999867
ADIB,-136655.67999999865,-138353.09999999884
ADNOCDRI,18052.919999999638,19123.20999999962
ADNOCGAS,1019161.7600000004,1017585.7900000007
ADNOCLS,5347.640000000109,5460.210000000292
ALDAR,-108492.55999999991,-110689.88999999955
EAND,-681.0399999997153,-1409.1800000001858
EMAAR,1888387.1999999934,1858560.2499999925
EMIRATES,-139766.80000000025,-169491.4000000003
FAB,-100126.16000000076,-101887.10000000075
MODON,-2982.00000000019,-14679.260000000335
MULTIPLY,658247.1200000023,601004.1000000022
PARKIN,35075.1600000002,23263.000000000073
SALIK,-23396.719999991503,-41043.3999999918
SPINNEYS,41344.40000000027,33488.10000000024
TALABAT,1116556.7360000007,1003520.3379999995
