timestamp,side,fill_price,fill_qty,realized_pnl,position,pnl,security
2025-04-14 10:12:36,sell,12.25,3739,0,-3739,0,EMAAR
2025-04-14 10:12:36,sell,12.25,6160,0,-9899,0,EMAAR
2025-04-14 10:16:45,buy,12.25,32300,0,22401,0,EMAAR
2025-04-14 10:17:37,sell,12.25,13338,0,9063,0,EMAAR
2025-04-14 10:17:37,sell,12.25,11602,0,-2539,0,EMAAR
2025-04-14 10:17:37,sell,12.25,152,0,-2691,0,EMAAR
2025-04-14 10:17:37,sell,12.25,5983,0,-8674,0,EMAAR
2025-04-14 10:25:46,sell,12.15,367,0,-9041,0,EMAAR
2025-04-14 10:25:56,sell,12.15,1900,0,-10941,0,EMAAR
2025-04-14 10:26:12,sell,12.15,550,0,-11491,0,EMAAR
2025-04-14 10:26:37,sell,12.15,3616,0,-15107,0,EMAAR
2025-04-14 10:26:37,sell,12.15,25867,0,-40974,0,EMAAR
2025-04-14 10:27:44,sell,12.15,500,0,-41474,0,EMAAR
2025-04-14 10:27:44,sell,12.15,6670,0,-48144,0,EMAAR
2025-04-14 10:29:29,sell,12.2,729,0,-48873,0,EMAAR
2025-04-14 10:30:25,buy,12.2,3738,-118,-45135,-118,EMAAR
2025-04-14 10:38:31,sell,12.15,5442,0,-50577,-118,EMAAR
2025-04-14 10:38:31,sell,12.15,12910,0,-63487,-118,EMAAR
2025-04-14 10:38:31,sell,12.15,168,0,-63655,-118,EMAAR
2025-04-14 10:38:31,sell,12.15,945,0,-64600,-118,EMAAR
2025-04-14 10:39:23,buy,12.15,17964,232,-46636,114,EMAAR
2025-04-14 10:39:23,buy,12.15,7036,91,-39600,205,EMAAR
2025-04-14 10:39:24,buy,12.15,5423,70,-34177,275,EMAAR
2025-04-14 10:39:24,buy,12.15,1877,24,-32300,300,EMAAR
2025-04-14 10:43:00,sell,12.15,5868,0,-38168,300,EMAAR
2025-04-14 10:43:00,sell,12.15,5932,0,-44100,300,EMAAR
2025-04-14 10:43:31,sell,12.15,40,0,-44140,300,EMAAR
2025-04-14 10:47:53,sell,12.15,420,0,-44560,300,EMAAR
2025-04-14 10:48:50,sell,12.15,1555,0,-46115,300,EMAAR
2025-04-14 10:49:42,sell,12.15,11671,0,-57786,300,EMAAR
2025-04-14 10:49:42,sell,12.15,3329,0,-61115,300,EMAAR
2025-04-14 10:53:48,sell,12.15,30,0,-61145,300,EMAAR
2025-04-14 10:58:42,sell,12.15,2704,0,-63849,300,EMAAR
2025-04-14 10:58:47,sell,12.15,74,0,-63923,300,EMAAR
2025-04-14 10:58:47,sell,12.15,677,0,-64600,300,EMAAR
2025-04-14 12:37:15,buy,12.2,9227,-402,-55373,-102,EMAAR
2025-04-14 12:38:42,sell,12.2,665,0,-56038,-102,EMAAR
2025-04-14 12:38:42,sell,12.2,1614,0,-57652,-102,EMAAR
2025-04-14 12:38:45,sell,12.2,6808,0,-64460,-102,EMAAR
2025-04-14 12:41:15,sell,12.2,140,0,-64600,-102,EMAAR
2025-04-14 13:03:11,buy,12.2,367,-14,-64233,-116,EMAAR
2025-04-14 13:03:11,buy,12.2,490,-18,-63743,-134,EMAAR
2025-04-14 13:03:11,buy,12.2,637,-24,-63106,-158,EMAAR
2025-04-14 13:03:11,buy,12.2,929,-35,-62177,-193,EMAAR
2025-04-14 13:03:11,buy,12.2,1060,-40,-61117,-232,EMAAR
2025-04-14 13:03:11,buy,12.2,1199,-45,-59918,-277,EMAAR
2025-04-14 13:03:11,buy,12.2,1309,-49,-58609,-326,EMAAR
2025-04-14 13:04:37,buy,12.2,318,-12,-58291,-338,EMAAR
2025-04-14 13:04:37,buy,12.2,259,-10,-58032,-347,EMAAR
2025-04-14 13:04:48,buy,12.2,1531,-57,-56501,-404,EMAAR
2025-04-14 13:04:48,buy,12.2,1598,-60,-54903,-464,EMAAR
2025-04-14 13:06:23,buy,12.2,1613,-60,-53290,-524,EMAAR
2025-04-14 13:06:23,buy,12.2,5179,-193,-48111,-718,EMAAR
2025-04-14 13:06:23,buy,12.2,1208,-45,-46903,-763,EMAAR
2025-04-14 13:06:36,buy,12.2,100,-4,-46803,-766,EMAAR
2025-04-14 13:06:59,buy,12.2,625,-23,-46178,-790,EMAAR
2025-04-14 13:07:02,buy,12.2,4297,-160,-41881,-950,EMAAR
2025-04-14 13:07:02,buy,12.2,2195,-82,-39686,-1032,EMAAR
2025-04-14 13:08:52,buy,12.2,207,-8,-39479,-1040,EMAAR
2025-04-14 13:09:06,buy,12.2,5794,-216,-33685,-1256,EMAAR
2025-04-14 13:10:42,buy,12.2,786,-29,-32899,-1285,EMAAR
2025-04-14 13:10:42,buy,12.2,5561,-208,-27338,-1493,EMAAR
2025-04-14 13:14:07,buy,12.2,6020,-225,-21318,-1717,EMAAR
2025-04-14 13:14:13,buy,12.2,900,-34,-20418,-1751,EMAAR
2025-04-14 13:14:36,buy,12.2,5751,-215,-14667,-1966,EMAAR
2025-04-14 13:14:36,buy,12.2,2868,-107,-11799,-2073,EMAAR
2025-04-14 13:14:36,buy,12.2,4598,-172,-7201,-2244,EMAAR
2025-04-14 13:16:38,buy,12.2,100,-4,-7101,-2248,EMAAR
2025-04-14 13:16:59,buy,12.2,30,-1,-7071,-2249,EMAAR
2025-04-14 13:17:24,buy,12.2,1008,-38,-6063,-2287,EMAAR
2025-04-14 13:17:24,buy,12.2,50,-2,-6013,-2289,EMAAR
2025-04-14 13:17:24,buy,12.2,1000,-37,-5013,-2326,EMAAR
2025-04-14 13:17:24,buy,12.2,2868,-107,-2145,-2433,EMAAR
2025-04-14 13:17:24,buy,12.2,5736,-80,3591,-2513,EMAAR
2025-04-14 13:17:24,buy,12.2,21508,0,25099,-2513,EMAAR
2025-04-14 13:51:31,buy,12.2,1435,0,26534,-2513,EMAAR
2025-04-14 13:51:31,buy,12.2,4,0,26538,-2513,EMAAR
2025-04-14 13:51:31,buy,12.2,2868,0,29406,-2513,EMAAR
2025-04-14 13:51:31,buy,12.2,5736,0,35142,-2513,EMAAR
2025-04-14 13:51:31,buy,12.2,3000,0,38142,-2513,EMAAR
2025-04-14 13:51:31,buy,12.2,19257,0,57399,-2513,EMAAR
2025-04-14 14:04:53,sell,12.25,5350,268,52049,-2246,EMAAR
2025-04-14 14:04:53,sell,12.25,4579,229,47470,-2017,EMAAR
2025-04-14 14:04:53,sell,12.25,3056,153,44414,-1864,EMAAR
2025-04-14 14:04:54,sell,12.25,2868,143,41546,-1720,EMAAR
2025-04-14 14:04:54,sell,12.25,76,4,41470,-1717,EMAAR
2025-04-14 14:04:54,sell,12.25,7138,357,34332,-1360,EMAAR
2025-04-14 14:04:56,sell,12.3,9233,923,25099,-436,EMAAR
2025-04-14 14:04:57,buy,12.25,15000,0,40099,-436,EMAAR
2025-04-14 14:09:42,buy,12.25,3781,0,43880,-436,EMAAR
2025-04-14 14:18:52,buy,12.3,10982,0,54862,-436,EMAAR
2025-04-14 14:18:52,buy,12.3,9738,0,64600,-436,EMAAR
2025-04-14 14:19:17,sell,12.3,1051,56,63549,-380,EMAAR
2025-04-14 14:19:17,sell,12.3,4169,223,59380,-158,EMAAR
2025-04-14 14:19:17,sell,12.3,26040,1390,33340,1233,EMAAR
2025-04-14 14:20:05,sell,12.3,1040,56,32300,1288,EMAAR
2025-04-14 14:22:11,buy,12.3,2238,0,34538,1288,EMAAR
2025-04-14 14:22:11,buy,12.3,21262,0,55800,1288,EMAAR
2025-04-14 14:22:16,buy,12.3,1500,0,57300,1288,EMAAR
2025-04-14 14:22:19,buy,12.3,1368,0,58668,1288,EMAAR
2025-04-14 14:22:19,buy,12.3,5932,0,64600,1288,EMAAR
2025-04-14 14:30:27,sell,12.3,1029,27,63571,1316,EMAAR
2025-04-14 14:30:27,sell,12.3,570,15,63001,1331,EMAAR
2025-04-14 14:30:27,sell,12.3,1127,30,61874,1361,EMAAR
2025-04-14 14:30:47,sell,12.3,3211,86,58663,1447,EMAAR
2025-04-14 14:30:47,sell,12.3,1199,32,57464,1479,EMAAR
2025-04-14 14:30:47,sell,12.3,327,9,57137,1487,EMAAR
2025-04-14 14:30:47,sell,12.3,5998,160,51139,1647,EMAAR
2025-04-14 14:30:47,sell,12.3,20,1,51119,1648,EMAAR
2025-04-14 14:30:47,sell,12.3,5927,158,45192,1806,EMAAR
2025-04-14 14:30:47,sell,12.3,5821,155,39371,1962,EMAAR
2025-04-14 14:30:47,sell,12.3,139,4,39232,1965,EMAAR
2025-04-14 14:30:47,sell,12.3,5728,153,33504,2118,EMAAR
2025-04-14 14:30:47,sell,12.3,95,3,33409,2121,EMAAR
2025-04-14 14:30:47,sell,12.3,1109,30,32300,2150,EMAAR
2025-04-14 14:37:22,buy,12.3,1968,0,34268,2150,EMAAR
2025-04-14 14:37:22,buy,12.3,702,0,34970,2150,EMAAR
2025-04-14 14:38:28,buy,12.3,622,0,35592,2150,EMAAR
2025-04-14 14:39:46,buy,12.3,1,0,35593,2150,EMAAR
2025-04-14 14:39:46,buy,12.3,1,0,35594,2150,EMAAR
2025-04-14 14:41:22,buy,12.3,3259,0,38853,2150,EMAAR
2025-04-14 14:41:22,buy,12.3,8604,0,47457,2150,EMAAR
2025-04-14 14:41:22,buy,12.3,4536,0,51993,2150,EMAAR
2025-04-14 14:41:22,buy,12.3,5736,0,57729,2150,EMAAR
2025-04-14 14:41:22,buy,12.3,6871,0,64600,2150,EMAAR
2025-04-14 14:43:23,sell,12.35,599,38,64001,2188,EMAAR
2025-04-14 14:43:23,sell,12.35,499,32,63502,2220,EMAAR
2025-04-14 14:43:23,sell,12.35,6869,435,56633,2655,EMAAR
2025-04-14 14:43:23,sell,12.35,6165,391,50468,3046,EMAAR
2025-04-14 14:43:23,sell,12.35,6187,392,44281,3437,EMAAR
2025-04-14 14:43:23,sell,12.35,74,5,44207,3442,EMAAR
2025-04-14 14:43:31,sell,12.35,6494,411,37713,3854,EMAAR
2025-04-14 14:43:31,sell,12.35,373,24,37340,3877,EMAAR
2025-04-14 14:43:42,sell,12.35,3370,213,33970,4091,EMAAR
2025-04-14 14:43:52,sell,12.35,1506,95,32464,4186,EMAAR
2025-04-14 14:44:12,sell,12.35,164,10,32300,4196,EMAAR
2025-04-14 14:55:00,sell,12.2,32300,-2799,0,1398,EMAAR
2025-04-15 10:06:41,sell,12.2,1203,0,-1203,1398,EMAAR
2025-04-15 10:08:14,sell,12.2,500,0,-1703,1398,EMAAR
2025-04-15 10:09:28,sell,12.2,818,0,-2521,1398,EMAAR
2025-04-15 10:09:28,sell,12.2,3487,0,-6008,1398,EMAAR
2025-04-15 10:09:28,sell,12.2,3967,0,-9975,1398,EMAAR
2025-04-15 10:09:28,sell,12.2,11434,0,-21409,1398,EMAAR
2025-04-15 10:09:28,sell,12.2,1269,0,-22678,1398,EMAAR
2025-04-15 10:09:28,sell,12.2,11325,0,-34003,1398,EMAAR
2025-04-15 10:09:28,buy,12.2,32300,0,-1703,1398,EMAAR
2025-04-15 10:10:44,buy,12.2,1060,0,-643,1398,EMAAR
2025-04-15 10:10:44,buy,12.2,1206,0,563,1398,EMAAR
2025-04-15 10:10:44,buy,12.2,3413,0,3976,1398,EMAAR
2025-04-15 10:15:01,buy,12.2,64,0,4040,1398,EMAAR
2025-04-15 10:15:01,buy,12.2,4901,0,8941,1398,EMAAR
2025-04-15 10:15:01,buy,12.2,19480,0,28421,1398,EMAAR
2025-04-15 10:15:01,buy,12.2,7855,0,36276,1398,EMAAR
2025-04-15 10:27:33,sell,12.2,15619,0,20657,1398,EMAAR
2025-04-15 10:27:33,sell,12.2,16681,0,3976,1398,EMAAR
2025-04-15 10:38:58,buy,12.2,32300,0,36276,1398,EMAAR
2025-04-15 10:44:16,sell,12.2,19700,0,16576,1398,EMAAR
2025-04-15 11:14:39,sell,12.25,1326,66,15250,1464,EMAAR
2025-04-15 11:14:39,buy,12.2,8247,0,23497,1464,EMAAR
2025-04-15 11:14:39,buy,12.2,20000,0,43497,1464,EMAAR
2025-04-15 11:14:39,buy,12.2,249,0,43746,1464,EMAAR
2025-04-15 11:14:39,buy,12.2,1060,0,44806,1464,EMAAR
2025-04-15 11:14:39,buy,12.2,1206,0,46012,1464,EMAAR
2025-04-15 11:14:39,buy,12.2,1538,0,47550,1464,EMAAR
2025-04-15 11:14:43,sell,12.25,1000,50,46550,1514,EMAAR
2025-04-15 11:14:43,sell,12.25,5535,277,41015,1791,EMAAR
2025-04-15 11:14:43,sell,12.25,71,4,40944,1794,EMAAR
2025-04-15 11:14:43,sell,12.25,24368,1218,16576,3013,EMAAR
2025-04-15 11:27:34,buy,12.25,584,0,17160,3013,EMAAR
2025-04-15 11:27:34,buy,12.25,5500,0,22660,3013,EMAAR
2025-04-15 11:27:34,buy,12.25,7032,0,29692,3013,EMAAR
2025-04-15 11:30:32,buy,12.25,11312,0,41004,3013,EMAAR
2025-04-15 11:33:11,buy,12.25,5790,0,46794,3013,EMAAR
2025-04-15 11:33:11,buy,12.25,240,0,47034,3013,EMAAR
2025-04-15 11:33:11,buy,12.25,438,0,47472,3013,EMAAR
2025-04-15 11:33:11,buy,12.25,512,0,47984,3013,EMAAR
2025-04-15 11:33:11,buy,12.25,317,0,48301,3013,EMAAR
2025-04-15 11:33:11,buy,12.25,489,0,48790,3013,EMAAR
2025-04-15 11:33:11,buy,12.25,881,0,49671,3013,EMAAR
2025-04-15 11:33:11,buy,12.25,1103,0,50774,3013,EMAAR
2025-04-15 11:33:11,buy,12.25,2000,0,52774,3013,EMAAR
2025-04-15 11:33:11,buy,12.25,2034,0,54808,3013,EMAAR
2025-04-15 11:33:11,buy,12.25,2573,0,57381,3013,EMAAR
2025-04-15 11:33:11,buy,12.25,3126,0,60507,3013,EMAAR
2025-04-15 11:33:11,buy,12.25,4093,0,64600,3013,EMAAR
2025-04-15 11:40:36,sell,12.25,1009,13,63591,3025,EMAAR
2025-04-15 11:40:36,sell,12.25,1285,16,62306,3042,EMAAR
2025-04-15 11:40:36,sell,12.25,22849,293,39457,3335,EMAAR
2025-04-15 11:44:01,sell,12.25,11641,149,27816,3484,EMAAR
2025-04-15 11:44:54,sell,12.25,3290,42,24526,3527,EMAAR
2025-04-15 11:45:13,sell,12.25,4553,58,19973,3585,EMAAR
2025-04-15 11:45:13,sell,12.25,12816,164,7157,3750,EMAAR
2025-04-15 12:12:49,sell,12.3,14547,450,-7390,4199,EMAAR
2025-04-15 12:12:49,sell,12.3,4226,0,-11616,4199,EMAAR
2025-04-15 12:12:49,sell,12.3,4237,0,-15853,4199,EMAAR
2025-04-15 12:12:49,sell,12.3,9290,0,-25143,4199,EMAAR
2025-04-15 12:16:27,buy,12.35,584,-29,-24559,4170,EMAAR
2025-04-15 12:16:27,buy,12.35,3146,-157,-21413,4013,EMAAR
2025-04-15 12:16:27,buy,12.35,3171,-159,-18242,3854,EMAAR
2025-04-15 12:16:27,buy,12.35,3159,-158,-15083,3696,EMAAR
2025-04-15 12:16:27,buy,12.35,3159,-158,-11924,3538,EMAAR
2025-04-15 12:16:27,buy,12.35,3146,-157,-8778,3381,EMAAR
2025-04-15 12:16:27,buy,12.35,3544,-177,-5234,3204,EMAAR
2025-04-15 12:16:27,buy,12.35,3171,-159,-2063,3045,EMAAR
2025-04-15 12:16:27,buy,12.35,4937,-103,2874,2942,EMAAR
2025-04-15 12:16:27,buy,12.35,3159,0,6033,2942,EMAAR
2025-04-15 12:16:27,buy,12.35,1124,0,7157,2942,EMAAR
2025-04-15 12:32:34,sell,12.3,8675,-358,-1518,2584,EMAAR
2025-04-15 12:34:57,sell,12.3,3000,0,-4518,2584,EMAAR
2025-04-15 12:35:25,sell,12.3,1014,0,-5532,2584,EMAAR
2025-04-15 12:35:25,sell,12.3,584,0,-6116,2584,EMAAR
2025-04-15 12:35:25,sell,12.3,452,0,-6568,2584,EMAAR
2025-04-15 12:35:25,sell,12.3,27250,0,-33818,2584,EMAAR
2025-04-15 12:56:51,buy,12.35,584,-29,-33234,2555,EMAAR
2025-04-15 12:56:51,buy,12.35,3159,-158,-30075,2397,EMAAR
2025-04-15 12:56:51,buy,12.35,2215,-111,-27860,2286,EMAAR
2025-04-15 12:57:36,buy,12.35,250,-12,-27610,2274,EMAAR
2025-04-15 12:58:38,buy,12.35,681,-34,-26929,2240,EMAAR
2025-04-15 12:58:38,buy,12.35,3146,-157,-23783,2082,EMAAR
2025-04-15 12:58:38,buy,12.35,3146,-157,-20637,1925,EMAAR
2025-04-15 12:58:38,buy,12.35,3146,-157,-17491,1768,EMAAR
2025-04-15 12:58:38,buy,12.35,12,-1,-17479,1767,EMAAR
2025-04-15 13:00:01,buy,12.35,231,-12,-17248,1756,EMAAR
2025-04-15 13:02:17,buy,12.35,1286,-64,-15962,1691,EMAAR
2025-04-15 13:03:43,buy,12.35,3656,-183,-12306,1509,EMAAR
2025-04-15 13:03:43,buy,12.35,3304,-165,-9002,1343,EMAAR
2025-04-15 13:03:43,buy,12.35,5060,-253,-3942,1090,EMAAR
2025-04-15 13:03:43,buy,12.35,2385,-119,-1557,971,EMAAR
2025-04-15 13:03:43,buy,12.35,2350,-78,793,893,EMAAR
2025-04-15 13:03:43,buy,12.35,4780,0,5573,893,EMAAR
2025-04-15 13:03:43,buy,12.35,182,0,5755,893,EMAAR
2025-04-15 13:04:48,buy,12.35,300,0,6055,893,EMAAR
2025-04-15 13:05:28,buy,12.35,32000,0,38055,893,EMAAR
2025-04-15 13:05:34,sell,12.4,15105,755,22950,1649,EMAAR
2025-04-15 13:05:34,sell,12.4,9000,450,13950,2099,EMAAR
2025-04-15 13:05:34,sell,12.4,650,33,13300,2131,EMAAR
2025-04-15 13:05:34,sell,12.4,7545,377,5755,2508,EMAAR
2025-04-15 13:13:30,sell,12.4,15955,288,-10200,2796,EMAAR
2025-04-15 13:13:30,sell,12.4,11368,0,-21568,2796,EMAAR
2025-04-15 13:13:30,sell,12.4,1466,0,-23034,2796,EMAAR
2025-04-15 13:13:30,sell,12.4,3511,0,-26545,2796,EMAAR
2025-04-15 13:13:50,buy,12.4,3328,0,-23217,2796,EMAAR
2025-04-15 13:13:50,buy,12.4,28972,0,5755,2796,EMAAR
2025-04-15 13:16:55,sell,12.4,3084,0,2671,2796,EMAAR
2025-04-15 13:16:55,sell,12.4,806,0,1865,2796,EMAAR
2025-04-15 13:16:55,sell,12.4,881,0,984,2796,EMAAR
2025-04-15 13:16:55,sell,12.4,512,0,472,2796,EMAAR
2025-04-15 13:16:55,sell,12.4,792,0,-320,2796,EMAAR
2025-04-15 13:16:55,sell,12.4,4513,0,-4833,2796,EMAAR
2025-04-15 13:16:55,sell,12.4,10000,0,-14833,2796,EMAAR
2025-04-15 13:18:20,buy,12.4,16792,0,1959,2796,EMAAR
