timestamp,side,fill_price,fill_qty,realized_pnl,position,pnl,security
2025-04-14 10:10:15,sell,4.74,3400.0,0,-3400,0,PARKIN
2025-04-14 10:18:18,sell,4.74,3400.0,0,-6800,0,PARKIN
2025-04-14 10:38:24,buy,4.75,750.0,-7,-6050,-7,PARKIN
2025-04-14 10:49:38,sell,4.74,750.0,0,-6800,-7,PARKIN
2025-04-14 11:15:26,buy,4.75,2105.0,-21,-4695,-29,PARKIN
2025-04-14 11:15:26,buy,4.75,500.0,-5,-4195,-34,PARKIN
2025-04-14 11:15:26,buy,4.75,795.0,-8,-3400,-41,PARKIN
2025-04-14 11:21:10,buy,4.77,611.0,-18,-2789,-60,PARKIN
2025-04-14 11:23:44,buy,4.77,3400.0,-84,611,-143,PARKIN
2025-04-14 11:24:56,sell,4.8,539.0,16,72,-127,PARKIN
2025-04-14 11:24:56,sell,4.8,2861.0,2,-2789,-125,PARKIN
2025-04-14 11:25:00,buy,4.8,3400.0,0,611,-125,PARKIN
2025-04-14 11:27:50,sell,4.8,1292.0,0,-681,-125,PARKIN
2025-04-14 11:30:08,sell,4.8,100.0,0,-781,-125,PARKIN
2025-04-14 11:30:14,buy,4.79,1000.0,8,219,-117,PARKIN
2025-04-14 11:30:14,buy,4.79,2400.0,0,2619,-117,PARKIN
2025-04-14 11:30:34,sell,4.8,154.0,2,2465,-116,PARKIN
2025-04-14 11:30:34,sell,4.8,104.0,1,2361,-115,PARKIN
2025-04-14 11:30:34,sell,4.8,1426.0,14,935,-101,PARKIN
2025-04-14 11:30:34,sell,4.8,574.0,6,361,-95,PARKIN
2025-04-14 11:30:34,sell,4.8,1042.0,4,-681,-91,PARKIN
2025-04-14 11:54:16,buy,4.8,303.0,0,-378,-91,PARKIN
2025-04-14 11:54:16,buy,4.8,3097.0,0,2719,-91,PARKIN
2025-04-14 12:06:59,sell,4.82,1928.0,39,791,-53,PARKIN
2025-04-14 12:07:10,sell,4.82,72.0,1,719,-51,PARKIN
2025-04-14 12:07:10,sell,4.82,128.0,3,591,-49,PARKIN
2025-04-14 12:07:28,buy,4.81,439.0,0,1030,-49,PARKIN
2025-04-14 12:12:17,sell,4.82,1370.0,16,-340,-32,PARKIN
2025-04-14 12:12:17,sell,4.82,1500.0,0,-1840,-32,PARKIN
2025-04-14 12:12:17,sell,4.82,66.0,0,-1906,-32,PARKIN
2025-04-14 12:12:48,buy,4.81,3400.0,19,1494,-13,PARKIN
2025-04-14 12:20:04,buy,4.81,200.0,0,1694,-13,PARKIN
2025-04-14 12:39:47,sell,4.81,1582.0,0,112,-13,PARKIN
2025-04-14 12:43:50,buy,4.82,3400.0,0,3512,-13,PARKIN
2025-04-14 12:51:00,sell,4.8,3390.0,-67,122,-80,PARKIN
2025-04-14 12:51:00,sell,4.8,10.0,0,112,-80,PARKIN
2025-04-14 12:53:38,buy,4.8,154.0,0,266,-80,PARKIN
2025-04-14 12:53:38,buy,4.8,1530.0,0,1796,-80,PARKIN
2025-04-14 12:53:38,buy,4.8,1716.0,0,3512,-80,PARKIN
2025-04-14 12:55:23,sell,4.8,3400.0,-2,112,-82,PARKIN
2025-04-14 13:30:52,buy,4.8,2536.0,0,2648,-82,PARKIN
2025-04-14 13:30:52,buy,4.8,864.0,0,3512,-82,PARKIN
2025-04-14 13:43:09,sell,4.8,1276.0,0,2236,-82,PARKIN
2025-04-14 13:43:09,sell,4.8,933.0,0,1303,-82,PARKIN
2025-04-14 13:43:09,sell,4.8,1000.0,0,303,-82,PARKIN
2025-04-14 13:43:09,sell,4.8,191.0,0,112,-82,PARKIN
2025-04-14 14:08:59,sell,4.81,759.0,1,-647,-81,PARKIN
2025-04-14 14:08:59,sell,4.81,754.0,0,-1401,-81,PARKIN
2025-04-14 14:08:59,sell,4.81,1887.0,0,-3288,-81,PARKIN
2025-04-14 14:29:40,buy,4.82,1178.0,-12,-2110,-93,PARKIN
2025-04-14 14:29:40,buy,4.82,2222.0,-21,112,-114,PARKIN
2025-04-14 14:29:40,sell,4.82,2121.0,0,-2009,-114,PARKIN
2025-04-14 14:31:29,sell,4.82,1831.0,0,-3840,-114,PARKIN
2025-04-14 14:31:29,sell,4.82,1569.0,0,-5409,-114,PARKIN
2025-04-14 14:32:51,buy,4.82,2618.0,0,-2791,-114,PARKIN
2025-04-14 14:32:51,buy,4.82,782.0,0,-2009,-114,PARKIN
2025-04-14 14:37:36,sell,4.81,877.0,0,-2886,-114,PARKIN
2025-04-14 14:37:36,sell,4.81,2523.0,0,-5409,-114,PARKIN
2025-04-14 14:39:09,buy,4.8,1025.0,14,-4384,-100,PARKIN
2025-04-14 14:39:09,buy,4.8,2375.0,33,-2009,-68,PARKIN
2025-04-14 14:44:31,buy,4.79,14.0,0,-1995,-67,PARKIN
2025-04-14 14:44:31,buy,4.78,26.0,1,-1969,-66,PARKIN
2025-04-14 14:55:00,buy,4.8,1969.0,27,0,-39,PARKIN
2025-04-15 10:07:35,buy,4.8,1873.0,0,1873,-39,PARKIN
