timestamp,side,fill_price,fill_qty,realized_pnl,position,pnl,security
2025-04-14 10:24:40,buy,1.33,2000,0,2000,0,TALABAT
2025-04-14 10:24:40,buy,1.33,1213,0,3213,0,TALABAT
2025-04-14 10:24:40,buy,1.33,20000,0,23213,0,TALABAT
2025-04-14 10:24:40,buy,1.33,93287,0,116500,0,TALABAT
2025-04-14 10:30:35,sell,1.32,10276,-103,106224,-103,TALABAT
2025-04-14 10:30:35,sell,1.32,4354,-44,101870,-146,TALABAT
2025-04-14 10:30:35,sell,1.32,29211,-292,72659,-438,TALABAT
2025-04-14 10:30:35,sell,1.32,72659,-727,0,-1165,TALABAT
2025-04-14 10:31:18,buy,1.32,16069,0,16069,-1165,TALABAT
2025-04-14 10:33:33,sell,1.32,32107,0,-16038,-1165,TALABAT
2025-04-14 10:37:58,sell,1.32,25297,0,-41335,-1165,TALABAT
2025-04-14 11:10:26,buy,1.32,3903,0,-37432,-1165,TALABAT
2025-04-14 11:10:26,buy,1.32,7605,0,-29827,-1165,TALABAT
2025-04-14 11:12:23,buy,1.32,3000,0,-26827,-1165,TALABAT
2025-04-14 11:13:18,buy,1.32,20114,0,-6713,-1165,TALABAT
2025-04-14 11:15:21,buy,1.32,38731,0,32018,-1165,TALABAT
2025-04-14 11:15:59,buy,1.32,20716,0,52734,-1165,TALABAT
2025-04-14 11:18:30,buy,1.32,21058,0,73792,-1165,TALABAT
2025-04-14 11:21:08,buy,1.32,20280,0,94072,-1165,TALABAT
2025-04-14 11:23:42,buy,1.32,19496,0,113568,-1165,TALABAT
2025-04-14 11:23:42,buy,1.32,1704,0,115272,-1165,TALABAT
2025-04-14 11:26:22,buy,1.32,23345,0,138617,-1165,TALABAT
2025-04-14 11:29:22,buy,1.32,21981,0,160598,-1165,TALABAT
2025-04-14 11:32:04,buy,1.32,19691,0,180289,-1165,TALABAT
2025-04-14 11:33:34,buy,1.32,52711,0,233000,-1165,TALABAT
2025-04-14 12:03:52,sell,1.32,116500,0,116500,-1165,TALABAT
2025-04-14 12:06:31,buy,1.32,116500,0,233000,-1165,TALABAT
2025-04-14 12:27:48,sell,1.33,15595,156,217405,-1009,TALABAT
2025-04-14 12:27:48,sell,1.33,21701,217,195704,-792,TALABAT
2025-04-14 12:27:48,sell,1.33,52459,525,143245,-267,TALABAT
2025-04-14 12:27:48,sell,1.33,26745,267,116500,0,TALABAT
2025-04-14 12:32:31,buy,1.33,115850,0,232350,0,TALABAT
2025-04-14 12:33:48,buy,1.33,650,0,233000,0,TALABAT
2025-04-14 12:43:08,sell,1.33,39899,199,193101,199,TALABAT
2025-04-14 12:43:08,sell,1.33,76601,383,116500,583,TALABAT
2025-04-14 12:50:28,sell,1.33,40891,204,75609,787,TALABAT
2025-04-14 12:50:28,sell,1.33,21263,106,54346,893,TALABAT
2025-04-14 12:50:28,sell,1.33,20977,105,33369,998,TALABAT
2025-04-14 13:07:12,buy,1.33,19207,0,52576,998,TALABAT
2025-04-14 13:07:34,buy,1.33,20886,0,73462,998,TALABAT
2025-04-14 13:08:42,buy,1.33,21300,0,94762,998,TALABAT
2025-04-14 13:10:03,buy,1.33,22861,0,117623,998,TALABAT
2025-04-14 13:11:01,buy,1.33,1257,0,118880,998,TALABAT
2025-04-14 13:11:25,buy,1.33,4000,0,122880,998,TALABAT
2025-04-14 13:12:57,buy,1.33,21009,0,143889,998,TALABAT
2025-04-14 13:13:08,buy,1.33,20541,0,164430,998,TALABAT
2025-04-14 13:15:04,buy,1.33,22404,0,186834,998,TALABAT
2025-04-14 13:15:49,buy,1.33,22231,0,209065,998,TALABAT
2025-04-14 13:16:42,buy,1.33,23935,0,233000,998,TALABAT
2025-04-14 13:19:11,sell,1.33,8221,6,224779,1004,TALABAT
2025-04-14 13:19:11,sell,1.33,3483,2,221296,1007,TALABAT
2025-04-14 13:20:02,sell,1.33,5800,4,215496,1011,TALABAT
2025-04-14 13:20:23,sell,1.33,23411,17,192085,1027,TALABAT
2025-04-14 13:20:23,sell,1.33,1589,1,190496,1029,TALABAT
2025-04-14 13:20:47,sell,1.33,27622,20,162874,1048,TALABAT
2025-04-14 13:20:47,sell,1.33,45226,32,117648,1081,TALABAT
2025-04-14 13:20:47,sell,1.33,1148,1,116500,1082,TALABAT
2025-04-14 13:37:50,buy,1.33,13529,0,130029,1082,TALABAT
2025-04-14 13:38:12,buy,1.33,20625,0,150654,1082,TALABAT
2025-04-14 13:38:53,buy,1.33,20923,0,171577,1082,TALABAT
2025-04-14 13:39:13,sell,1.34,2975,31,168602,1113,TALABAT
2025-04-14 13:39:17,sell,1.34,16497,173,152105,1286,TALABAT
2025-04-14 13:39:17,sell,1.34,19990,210,132115,1495,TALABAT
2025-04-14 13:39:17,sell,1.34,21495,225,110620,1721,TALABAT
2025-04-14 13:39:17,sell,1.34,19597,205,91023,1926,TALABAT
2025-04-14 13:39:17,sell,1.34,19829,208,71194,2134,TALABAT
2025-04-14 13:39:17,sell,1.34,16117,169,55077,2303,TALABAT
2025-04-14 13:50:18,buy,1.34,21127,0,76204,2303,TALABAT
2025-04-14 13:50:18,buy,1.34,5000,0,81204,2303,TALABAT
2025-04-14 13:50:18,buy,1.34,50000,0,131204,2303,TALABAT
2025-04-14 13:50:18,buy,1.34,9194,0,140398,2303,TALABAT
2025-04-14 13:50:18,buy,1.34,20188,0,160586,2303,TALABAT
2025-04-14 13:50:18,buy,1.34,10991,0,171577,2303,TALABAT
2025-04-14 14:04:21,buy,1.33,6152,0,177729,2303,TALABAT
2025-04-14 14:04:27,buy,1.33,21409,0,199138,2303,TALABAT
2025-04-14 14:04:40,buy,1.33,33862,0,233000,2303,TALABAT
2025-04-14 14:09:32,sell,1.33,28993,-142,204007,2162,TALABAT
2025-04-14 14:09:32,sell,1.33,5308,-26,198699,2136,TALABAT
2025-04-14 14:13:15,sell,1.33,4122,-20,194577,2116,TALABAT
2025-04-14 14:15:04,sell,1.33,12047,-59,182530,2057,TALABAT
2025-04-14 14:16:22,sell,1.33,7516,-37,175014,2020,TALABAT
2025-04-14 14:16:22,sell,1.33,26492,-129,148522,1891,TALABAT
2025-04-14 14:16:22,sell,1.33,5992,-29,142530,1861,TALABAT
2025-04-14 14:18:05,sell,1.33,38892,-190,103638,1671,TALABAT
2025-04-14 14:18:05,sell,1.33,74425,-364,29213,1308,TALABAT
2025-04-14 14:18:05,sell,1.33,3183,-16,26030,1292,TALABAT
2025-04-14 14:21:03,buy,1.33,5000,0,31030,1292,TALABAT
2025-04-14 14:21:03,buy,1.33,1703,0,32733,1292,TALABAT
2025-04-14 14:25:02,sell,1.33,3451,-13,29282,1279,TALABAT
2025-04-14 14:27:02,sell,1.33,57674,-114,-28392,1165,TALABAT
2025-04-14 14:27:02,sell,1.33,7402,0,-35794,1165,TALABAT
2025-04-14 14:27:38,sell,1.33,49106,0,-84900,1165,TALABAT
2025-04-14 14:27:38,sell,1.33,894,0,-85794,1165,TALABAT
2025-04-14 14:27:48,sell,1.33,1424,0,-87218,1165,TALABAT
2025-04-14 14:40:11,buy,1.33,7489,0,-79729,1165,TALABAT
2025-04-14 14:40:11,buy,1.33,3000,0,-76729,1165,TALABAT
2025-04-14 14:40:11,buy,1.33,100000,0,23271,1165,TALABAT
2025-04-14 14:40:11,buy,1.33,6011,0,29282,1165,TALABAT
2025-04-14 14:43:25,buy,1.32,20179,0,49461,1165,TALABAT
