timestamp,side,fill_price,fill_qty,realized_pnl,position,pnl,security
2025-04-14 10:16:26,sell,2.69,7700,0,-7700,0,MODON
2025-04-14 10:31:17,buy,2.69,7700,0,0,0,MODON
2025-04-14 10:43:17,buy,2.68,2300,0,2300,0,MODON
2025-04-14 10:43:17,buy,2.68,5400,0,7700,0,MODON
2025-04-14 10:51:12,buy,2.68,7700,0,15400,0,MODON
2025-04-14 11:21:03,sell,2.69,275,3,15125,3,MODON
2025-04-14 11:27:50,buy,2.69,275,0,15400,3,MODON
2025-04-14 11:28:38,sell,2.69,700,7,14700,10,MODON
2025-04-14 11:34:36,sell,2.7,500,10,14200,20,MODON
2025-04-14 11:34:36,sell,2.7,3147,62,11053,82,MODON
2025-04-14 11:36:06,buy,2.69,4347,0,15400,82,MODON
2025-04-14 11:43:55,sell,2.7,7700,131,7700,213,MODON
2025-04-14 11:53:10,sell,2.7,350,6,7350,219,MODON
2025-04-14 11:53:10,sell,2.7,7350,125,0,344,MODON
2025-04-14 12:00:23,sell,2.71,411,0,-411,344,MODON
2025-04-14 12:03:55,buy,2.71,449,0,38,344,MODON
2025-04-14 12:06:08,buy,2.71,7700,0,7738,344,MODON
2025-04-14 12:14:46,buy,2.7,2384,0,10122,344,MODON
2025-04-14 12:15:31,buy,2.7,3834,0,13956,344,MODON
2025-04-14 12:20:44,buy,2.69,1444,0,15400,344,MODON
2025-04-14 13:29:29,sell,2.69,7700,-108,7700,236,MODON
2025-04-14 13:31:10,sell,2.72,7700,123,0,359,MODON
2025-04-14 13:32:54,sell,2.72,6,0,-6,359,MODON
2025-04-14 13:33:15,sell,2.72,7694,0,-7700,359,MODON
2025-04-14 13:35:37,sell,2.73,2153,0,-9853,359,MODON
2025-04-14 13:37:07,sell,2.73,5547,0,-15400,359,MODON
2025-04-14 13:39:22,buy,2.73,7700,-38,-7700,320,MODON
2025-04-14 13:39:33,sell,2.74,7700,0,-15400,320,MODON
2025-04-14 13:40:38,buy,2.75,7342,-128,-8058,192,MODON
2025-04-14 13:41:24,buy,2.75,358,-6,-7700,185,MODON
2025-04-14 13:47:51,sell,2.75,7700,0,-15400,185,MODON
2025-04-14 13:49:14,buy,2.74,3805,5,-11595,190,MODON
2025-04-14 13:49:14,buy,2.74,3895,5,-7700,195,MODON
2025-04-14 13:49:52,sell,2.75,1000,0,-8700,195,MODON
2025-04-14 13:51:22,buy,2.75,4682,-36,-4018,159,MODON
2025-04-14 13:51:54,buy,2.75,3018,-23,-1000,135,MODON
2025-04-14 13:55:24,sell,2.75,7700,0,-8700,135,MODON
2025-04-14 14:00:01,sell,2.75,6700,0,-15400,135,MODON
2025-04-14 14:03:48,buy,2.75,7700,-4,-7700,131,MODON
2025-04-14 14:07:11,sell,2.76,7700,0,-15400,131,MODON
2025-04-14 14:07:33,buy,2.75,7501,36,-7899,167,MODON
2025-04-14 14:07:33,buy,2.75,199,1,-7700,168,MODON
2025-04-14 14:09:52,buy,2.75,1189,6,-6511,174,MODON
2025-04-14 14:10:34,sell,2.75,7700,0,-14211,174,MODON
2025-04-14 14:16:01,buy,2.75,455,1,-13756,175,MODON
2025-04-14 14:16:12,buy,2.75,7245,16,-6511,190,MODON
2025-04-14 14:19:47,sell,2.75,7700,0,-14211,190,MODON
2025-04-14 14:22:35,buy,2.75,1978,2,-12233,192,MODON
2025-04-14 14:22:36,buy,2.75,100,0,-12133,192,MODON
2025-04-14 14:22:48,buy,2.75,50,0,-12083,192,MODON
2025-04-14 14:23:22,buy,2.75,5572,6,-6511,198,MODON
2025-04-14 14:32:37,sell,2.75,5210,0,-11721,198,MODON
2025-04-14 14:32:37,sell,2.75,2490,0,-14211,198,MODON
2025-04-14 14:55:00,buy,2.72,14211,433,0,631,MODON
2025-04-15 10:05:28,sell,2.75,7700,0,-7700,631,MODON
2025-04-15 10:10:30,sell,2.77,7700,0,-15400,631,MODON
2025-04-15 10:14:01,buy,2.8,500,-20,-14900,611,MODON
2025-04-15 10:14:01,buy,2.8,7200,-288,-7700,323,MODON
2025-04-15 10:14:32,sell,2.78,5000,0,-12700,323,MODON
2025-04-15 10:20:26,buy,2.77,7700,-16,-5000,306,MODON
2025-04-15 10:27:23,buy,2.77,2500,-5,-2500,301,MODON
2025-04-15 10:27:23,buy,2.77,200,0,-2300,301,MODON
2025-04-15 10:27:23,buy,2.77,5000,-5,2700,296,MODON
2025-04-15 10:36:21,sell,2.78,5128,27,-2428,323,MODON
2025-04-15 10:41:20,sell,2.79,7700,0,-10128,323,MODON
2025-04-15 10:49:42,sell,2.79,5272,0,-15400,323,MODON
2025-04-15 10:50:21,buy,2.79,7700,-12,-7700,311,MODON
2025-04-15 10:58:26,buy,2.79,7700,-12,0,299,MODON
2025-04-15 11:14:07,buy,2.78,180,0,180,299,MODON
2025-04-15 11:14:07,buy,2.78,7520,0,7700,299,MODON
2025-04-15 11:15:45,sell,2.78,5705,0,1995,299,MODON
2025-04-15 11:19:27,sell,2.78,3232,0,-1237,299,MODON
2025-04-15 11:28:05,buy,2.77,4005,12,2768,311,MODON
2025-04-15 11:28:27,buy,2.77,3695,0,6463,311,MODON
2025-04-15 11:29:17,sell,2.78,5112,51,1351,362,MODON
2025-04-15 11:31:46,sell,2.78,359,4,992,366,MODON
2025-04-15 11:34:30,sell,2.78,7700,10,-6708,376,MODON
2025-04-15 11:35:05,buy,2.77,7700,67,992,443,MODON
2025-04-15 11:55:21,buy,2.77,7700,0,8692,443,MODON
2025-04-15 12:04:10,sell,2.77,4937,0,3755,443,MODON
2025-04-15 12:04:32,sell,2.77,1055,0,2700,443,MODON
2025-04-15 12:04:32,sell,2.77,1708,0,992,443,MODON
2025-04-15 12:26:35,sell,2.79,50,1,942,444,MODON
2025-04-15 12:29:14,buy,2.79,7700,0,8642,444,MODON
2025-04-15 12:34:50,buy,2.79,3711,0,12353,444,MODON
2025-04-15 12:34:50,buy,2.79,1133,0,13486,444,MODON
2025-04-15 12:36:42,buy,2.79,1914,0,15400,444,MODON
2025-04-15 12:40:12,sell,2.8,7700,86,7700,530,MODON
2025-04-15 12:40:35,buy,2.79,7700,0,15400,530,MODON
2025-04-15 12:41:32,sell,2.82,4888,150,10512,680,MODON
2025-04-15 12:41:32,sell,2.82,2812,86,7700,766,MODON
2025-04-15 12:42:57,buy,2.81,736,0,8436,766,MODON
2025-04-15 12:45:52,sell,2.8,2767,24,5669,790,MODON
2025-04-15 12:51:04,sell,2.81,1969,37,3700,827,MODON
2025-04-15 12:53:14,sell,2.83,7700,144,-4000,971,MODON
2025-04-15 12:56:00,sell,2.83,5000,0,-9000,971,MODON
2025-04-15 12:56:06,sell,2.83,350,0,-9350,971,MODON
2025-04-15 12:56:20,sell,2.83,2350,0,-11700,971,MODON
2025-04-15 12:56:29,buy,2.83,5000,0,-6700,971,MODON
2025-04-15 12:57:45,sell,2.85,2119,0,-8819,971,MODON
2025-04-15 12:58:29,buy,2.85,7700,-117,-1119,854,MODON
2025-04-15 12:59:53,sell,2.85,7700,0,-8819,854,MODON
2025-04-15 13:00:27,buy,2.85,5118,-10,-3701,844,MODON
2025-04-15 13:00:27,buy,2.85,2582,-5,-1119,839,MODON
2025-04-15 13:01:22,sell,2.85,5000,0,-6119,839,MODON
2025-04-15 13:01:22,sell,2.85,2700,0,-8819,839,MODON
2025-04-15 13:02:45,sell,2.85,6581,0,-15400,839,MODON
2025-04-15 13:03:05,buy,2.84,7700,76,-7700,915,MODON
2025-04-15 13:04:59,sell,2.86,7700,0,-15400,915,MODON
2025-04-15 13:06:34,buy,2.87,5782,-87,-9618,828,MODON
2025-04-15 13:06:34,buy,2.87,1918,-29,-7700,799,MODON
2025-04-15 13:07:25,sell,2.87,7700,0,-15400,799,MODON
2025-04-15 13:07:34,buy,2.89,5000,-138,-10400,661,MODON
2025-04-15 13:09:38,sell,2.88,5000,0,-15400,661,MODON
2025-04-15 13:11:36,buy,2.88,7700,-91,-7700,570,MODON
2025-04-15 13:15:56,sell,2.87,876,0,-8576,570,MODON
2025-04-15 13:17:49,sell,2.88,1921,0,-10497,570,MODON
2025-04-15 13:18:38,buy,2.87,7700,4,-2797,574,MODON
2025-04-15 13:20:19,sell,2.88,7700,0,-10497,574,MODON
2025-04-15 13:22:53,sell,2.9,4903,0,-15400,574,MODON
2025-04-15 13:26:24,buy,2.89,7700,-41,-7700,532,MODON
2025-04-15 13:41:01,sell,2.89,7700,0,-15400,532,MODON
2025-04-15 13:44:24,buy,2.89,658,-2,-14742,531,MODON
2025-04-15 13:58:43,buy,2.88,3992,29,-10750,560,MODON
2025-04-15 13:58:43,buy,2.88,400,3,-10350,563,MODON
2025-04-15 13:59:16,sell,2.88,2685,0,-13035,563,MODON
2025-04-15 14:04:55,sell,2.88,2365,0,-15400,563,MODON
2025-04-15 14:09:35,buy,2.88,1040,5,-14360,568,MODON
2025-04-15 14:09:35,buy,2.88,6660,33,-7700,601,MODON
2025-04-15 14:41:58,sell,2.87,3500,0,-11200,601,MODON
2025-04-15 14:41:58,sell,2.87,3500,0,-14700,601,MODON
2025-04-15 14:41:58,sell,2.87,700,0,-15400,601,MODON
2025-04-15 14:55:00,buy,2.9,15400,-347,0,254,MODON
2025-04-16 10:05:07,sell,2.88,4900,0,-4900,254,MODON
2025-04-16 10:05:07,sell,2.88,1500,0,-6400,254,MODON
2025-04-16 10:05:15,buy,2.87,7700,64,1300,318,MODON
2025-04-16 10:07:23,sell,2.88,5000,13,-3700,331,MODON
2025-04-16 10:09:32,sell,2.88,3500,0,-7200,331,MODON
2025-04-16 10:10:59,buy,2.88,200,0,-7000,331,MODON
2025-04-16 10:14:22,buy,2.88,7700,0,700,331,MODON
2025-04-16 10:23:35,buy,2.86,5295,0,5995,331,MODON
2025-04-16 10:35:52,buy,2.87,116,0,6111,331,MODON
