security,trades,final_position,realized_pnl,rows_processed,market_dates,strategy_dates
ADCB,13164,0,-44231.380000000376,613125,136,135
ADIB,12267,0,-38055.38000000048,566951,136,136
ADNOCDRI,7906,0,4195.809999999919,579493,136,136
ADNOCGAS,8152,0,78437.54000000082,565685,136,136
ADNOCLS,5962,0,2242.3100000000195,407414,136,136
ALDAR,11200,0,-17613.949999999833,724307,136,136
EAND,8461,0,12291.62000000014,399749,136,135
EMAAR,15175,0,291220.849999999,649010,136,136
EMIRATES,12938,0,6215.550000000344,496318,136,136
FAB,8859,0,-4838.799999999405,497096,136,136
MODON,4248,0,13860.479999999985,187436,136,136
MULTIPLY,10432,0,105450.48000000013,395206,136,136
PARKIN,8076,0,4163.430000000093,285144,136,136
SALIK,22532,0,20408.810000000114,532121,136,136
SPINNEYS,784,0,4985.310000000006,45656,136,113
TALABAT,7407,0,120370.19700000016,315713,136,136
