timestamp,side,fill_price,fill_qty,realized_pnl,position,pnl
2025-04-14 10:00:00,sell,4.96,3904,0,-3904,0
2025-04-14 10:00:00,buy,4.96,3305,0,-599,0
2025-04-14 10:01:56,sell,4.95,1796,0,-2395,0
2025-04-14 10:01:56,buy,4.95,2395,6,0,6
2025-04-14 10:24:04,buy,4.93,5700,0,5700,6
2025-04-14 10:34:00,buy,4.92,4361,0,10061,6
2025-04-14 10:36:49,buy,4.93,405,0,10466,6
2025-04-14 10:38:02,buy,4.93,150,0,10616,6
2025-04-14 10:39:04,buy,4.92,784,0,11400,6
2025-04-14 10:41:42,sell,4.92,5700,-31,5700,-25
2025-04-14 10:43:56,buy,4.91,3638,0,9338,-25
2025-04-14 10:43:56,buy,4.91,2062,0,11400,-25
2025-04-14 10:57:42,sell,4.92,2000,5,9400,-21
2025-04-14 11:00:37,sell,4.92,28,0,9276,-20
2025-04-14 11:00:37,sell,4.92,96,0,9304,-21
2025-04-14 11:28:46,sell,4.92,5700,13,3576,-8
2025-04-14 11:39:14,buy,4.94,1882,0,5458,-8
2025-04-14 11:39:39,buy,4.94,543,0,6001,-8
2025-04-14 11:39:39,buy,4.92,3275,0,9276,-8
2025-04-14 12:15:05,sell,4.95,504,13,8772,5
2025-04-14 12:15:09,sell,4.94,200,3,8572,8
2025-04-14 12:16:58,sell,4.94,4996,78,3576,87
2025-04-14 12:27:02,sell,4.95,494,13,3082,99
2025-04-14 12:27:02,sell,4.95,2000,51,1082,151
2025-04-14 12:27:02,sell,4.96,150,5,932,156
2025-04-14 12:27:02,sell,4.96,2322,33,-1390,189
2025-04-14 12:27:02,sell,4.96,734,0,-2124,189
2025-04-14 12:44:37,sell,4.95,2253,0,-4377,189
2025-04-14 12:44:47,sell,4.96,3348,0,-7725,189
2025-04-14 12:44:47,sell,4.96,99,0,-7824,189
2025-04-14 12:57:59,buy,4.95,1200,9,-6624,198
2025-04-14 12:58:04,buy,4.95,1627,12,-4997,209
2025-04-14 12:58:04,buy,4.95,2785,20,-2212,229
2025-04-14 12:58:22,buy,4.94,88,2,-2124,231
2025-04-14 13:13:46,buy,4.94,1036,18,-1088,248
2025-04-14 13:14:08,buy,4.95,2767,8,1679,256
2025-04-14 13:14:33,sell,4.96,5700,17,-4021,273
2025-04-14 13:15:01,buy,4.95,1897,19,-2124,292
2025-04-14 13:21:43,buy,4.93,5700,64,3576,356
2025-04-14 13:25:46,sell,4.92,2853,-29,723,327
2025-04-14 13:25:48,sell,4.92,2847,-7,-2124,320
2025-04-14 14:27:30,sell,4.94,1000,0,-3124,320
2025-04-14 14:28:11,sell,4.95,768,0,-3892,320
2025-04-14 14:30:31,sell,4.95,1015,0,-4907,320
2025-04-14 14:31:58,sell,4.95,2917,0,-7824,320
2025-04-14 14:42:54,buy,4.93,4698,50,-3126,369
2025-04-14 14:43:21,buy,4.94,681,0,-2124,370
2025-04-14 14:43:21,buy,4.94,321,0,-2805,370
2025-04-14 14:55:00,buy,4.93,2124,22,0,392
2025-04-15 10:00:01,buy,4.91,284,0,284,392
2025-04-15 10:00:01,buy,4.91,250,0,534,392
2025-04-15 10:00:01,buy,4.91,110,0,644,392
2025-04-15 10:00:01,buy,4.9,2146,0,2790,392
2025-04-15 10:00:01,buy,4.9,150,0,2940,392
2025-04-15 10:00:01,buy,4.9,32,0,2972,392
2025-04-15 10:01:48,sell,4.93,1344,37,1628,430
2025-04-15 10:01:48,buy,4.93,1500,0,3128,430
2025-04-15 10:02:43,sell,4.93,1000,14,2128,444
2025-04-15 10:02:43,buy,4.93,1000,0,3128,444
2025-04-15 10:04:44,sell,4.92,61,0,3067,444
2025-04-15 10:04:44,buy,4.92,61,0,3128,444
2025-04-15 10:04:47,buy,4.9,147,0,3295,444
2025-04-15 10:04:47,buy,4.91,20,0,3148,444
2025-04-15 10:09:05,buy,4.9,5700,0,8995,444
2025-04-15 10:16:04,buy,4.9,1026,0,10021,444
