security,trades,realized_pnl,position,market_dates,strategy_dates,error
EAND,8461,205.75999999999294,0,136,135,
ADNOCLS,5962,-90.00000000000608,0,136,136,
ADNOCDRI,7906,-85.52000000000184,0,136,136,
ADIB,12267,-144.95885759619136,0,136,136,
ADNOCGAS,8152,2.5428548156014585e-12,0,136,136,
ADCB,13164,28.418063394873272,0,136,135,
EMAAR,15175,-7361.419533227701,0,136,136,
SPINNEYS,784,0.0,0,136,113,
ALDAR,11200,-50.03499999999406,0,136,136,
MODON,4248,154.00000000000014,0,136,136,
PARKIN,8076,106.89999999999772,0,136,136,
EMIRATES,12938,-851.4250000000011,0,136,136,
FAB,8859,-48.0000000000075,0,136,136,
MULTIPLY,10432,-1145.8287241936694,0,136,136,
TALABAT,7407,-713.6358980214609,0,136,136,
SALIK,22532,-298.3699999999857,0,136,136,
