timestamp,side,fill_price,fill_qty,realized_pnl,position,pnl
2025-04-14 10:00:00,sell,13.38,890,0,-890,0
2025-04-14 10:00:00,buy,13.38,1385,0,495,0
2025-04-14 10:02:51,sell,13.34,1274,-20,-779,-20
2025-04-14 10:02:51,buy,13.34,1015,0,236,-20
2025-04-14 10:02:51,sell,13.34,236,0,0,-20
2025-04-14 10:09:31,sell,13.38,214,0,-214,-20
2025-04-14 10:09:31,sell,13.38,2186,0,-2400,-20
2025-04-14 10:14:31,buy,13.38,127,0,0,-20
2025-04-14 10:14:31,buy,13.38,2273,0,-127,-20
2025-04-14 10:25:29,sell,13.4,2400,0,-2400,-20
2025-04-14 10:30:43,buy,13.36,589,24,-1811,4
2025-04-14 10:33:45,buy,13.34,1230,74,-581,78
2025-04-14 10:36:11,buy,13.34,400,24,-181,102
2025-04-14 10:38:40,buy,13.34,600,11,419,112
2025-04-14 10:41:09,buy,13.34,100,0,519,112
2025-04-14 10:42:17,buy,13.34,70,0,589,112
2025-04-14 10:43:45,sell,13.36,4,0,-1811,124
2025-04-14 10:43:45,sell,13.36,1314,12,-725,124
2025-04-14 10:43:45,sell,13.36,1082,0,-1807,124
2025-04-14 10:49:23,sell,13.4,2400,0,-4211,124
2025-04-14 11:22:20,sell,13.4,589,0,-4800,124
2025-04-14 12:20:55,buy,13.44,317,-17,-4483,107
2025-04-14 12:20:55,buy,13.44,971,-53,-3512,53
2025-04-14 12:20:55,buy,13.44,539,-30,-2973,24
2025-04-14 12:20:55,buy,13.44,573,-32,-2400,-8
2025-04-14 12:38:27,sell,13.46,743,0,-3143,-8
2025-04-14 12:39:17,sell,13.48,400,0,-3543,-8
2025-04-14 12:39:17,sell,13.48,80,0,-3623,-8
2025-04-14 12:39:17,sell,13.48,115,0,-3738,-8
2025-04-14 12:39:17,sell,13.48,1062,0,-4800,-8
2025-04-14 13:15:58,buy,13.46,2190,-67,-2400,-82
2025-04-14 13:15:58,buy,13.46,210,-6,-4590,-14
2025-04-14 13:48:22,sell,13.5,1185,0,-3585,-82
