timestamp,side,fill_price,fill_qty,realized_pnl,position,pnl
2025-04-14 10:00:06,sell,1.63,12323,0,-12323,0
2025-04-14 10:00:06,sell,1.63,3150,0,-15473,0
2025-04-14 10:00:06,sell,1.63,24227,0,-39700,0
2025-04-14 10:00:06,buy,1.63,39700,0,0,0
2025-04-14 10:07:41,buy,1.64,3600,0,3600,0
2025-04-14 10:08:09,buy,1.64,16503,0,20103,0
2025-04-14 10:08:09,buy,1.64,19597,0,39700,0
2025-04-14 10:15:14,sell,1.65,20000,200,19700,200
2025-04-14 10:15:35,sell,1.65,298,3,19402,203
2025-04-14 10:16:23,sell,1.66,19402,388,0,591
2025-04-14 10:21:03,buy,1.65,36354,0,36354,591
2025-04-14 10:21:03,buy,1.65,3346,0,39700,591
2025-04-14 10:21:03,sell,1.65,25000,0,14700,591
2025-04-14 10:21:03,sell,1.65,14700,0,0,591
2025-04-14 10:25:09,buy,1.65,2000,0,2000,591
2025-04-14 10:25:13,buy,1.65,2650,0,4650,591
2025-04-14 10:25:19,buy,1.65,35050,0,39700,591
2025-04-14 10:48:52,buy,1.64,39700,0,79400,591
2025-04-14 11:18:11,sell,1.64,13000,-65,66400,526
2025-04-14 11:18:35,sell,1.65,10,0,66390,526
2025-04-14 11:18:36,sell,1.64,18604,-93,47786,433
2025-04-14 11:19:02,sell,1.64,8086,-40,39700,393
2025-04-14 11:26:11,buy,1.64,10000,0,49700,393
2025-04-14 11:26:15,buy,1.64,29700,0,79400,393
2025-04-14 11:26:43,sell,1.64,22759,-57,56641,336
2025-04-14 11:27:15,sell,1.64,1000,-3,55641,333
2025-04-14 11:29:32,sell,1.64,2000,-5,53641,328
2025-04-14 11:35:24,sell,1.64,5265,-13,47397,313
2025-04-14 11:35:24,sell,1.64,33456,-84,13941,229
2025-04-14 11:35:24,sell,1.64,979,-2,52662,326
2025-04-14 11:45:08,buy,1.64,7333,0,21274,229
2025-04-14 11:45:09,buy,1.64,12718,0,33992,229
2025-04-14 11:46:17,buy,1.64,5000,0,38992,229
2025-04-14 11:47:43,buy,1.64,14649,0,53641,229
2025-04-14 11:49:13,sell,1.64,18605,-12,35036,217
2025-04-14 11:51:37,sell,1.65,3763,35,31273,252
2025-04-14 11:52:05,sell,1.65,5,0,31268,252
2025-04-14 11:54:12,sell,1.65,500,5,30768,257
2025-04-14 12:22:53,buy,1.64,5444,0,36212,257
2025-04-14 12:24:18,buy,1.64,34256,0,70468,257
2025-04-14 12:47:59,buy,1.64,8932,0,79400,257
2025-04-14 12:55:54,sell,1.64,21466,-5,57934,251
2025-04-14 12:56:56,sell,1.64,18234,-5,39700,247
2025-04-14 13:18:54,sell,1.65,414,4,39286,251
2025-04-14 13:20:01,sell,1.66,60,1,39226,252
2025-04-14 13:20:31,sell,1.66,7714,152,31512,404
2025-04-14 13:20:31,sell,1.66,27567,544,3945,949
2025-04-14 13:20:31,sell,1.66,3945,78,0,1027
2025-04-14 13:25:10,sell,1.67,7317,0,-12317,1027
2025-04-14 13:25:10,sell,1.67,5000,0,-5000,1027
2025-04-14 13:25:21,sell,1.67,27383,0,-39700,1027
2025-04-14 13:28:28,sell,1.69,8000,0,-47700,1027
2025-04-14 13:28:28,sell,1.69,31700,0,-79400,1027
2025-04-14 13:51:03,buy,1.72,1598,-64,-77802,963
2025-04-14 13:51:03,buy,1.72,1000,-40,-76802,923
2025-04-14 13:51:03,buy,1.72,902,-36,-75900,887
2025-04-14 13:51:14,buy,1.71,36200,-1086,-39700,-199
2025-04-14 14:01:27,sell,1.71,7000,0,-46700,-199
2025-04-14 14:01:33,sell,1.71,1895,0,-60360,-199
2025-04-14 14:01:33,sell,1.71,5904,0,-58465,-199
2025-04-14 14:01:33,sell,1.71,5861,0,-52561,-199
2025-04-14 14:01:40,sell,1.72,5000,0,-65360,-199
2025-04-14 14:01:45,sell,1.71,6500,0,-71860,-199
2025-04-14 14:01:54,sell,1.71,344,0,-72204,-199
2025-04-14 14:01:59,sell,1.71,7196,0,-79400,-199
2025-04-14 14:11:40,buy,1.71,39700,-570,-39700,-770
2025-04-14 14:15:47,buy,1.71,39700,-570,0,-1340
2025-04-14 14:18:19,sell,1.71,5000,0,-5000,-1340
2025-04-14 14:18:24,sell,1.71,1641,0,-34346,-1340
2025-04-14 14:18:24,sell,1.71,27705,0,-32705,-1340
2025-04-14 14:18:42,sell,1.71,5354,0,-39700,-1340
2025-04-14 14:18:54,buy,1.71,5654,0,-34046,-1340
2025-04-14 14:19:24,buy,1.71,30000,0,-4046,-1340
2025-04-14 14:20:00,buy,1.71,4046,0,0,-1340
2025-04-14 14:22:10,sell,1.71,16702,0,-16702,-1340
2025-04-14 14:22:13,sell,1.71,1866,0,-18568,-1340
2025-04-14 14:22:14,sell,1.71,21132,0,-39700,-1340
2025-04-14 14:28:48,sell,1.73,39700,0,-79400,-1340
2025-04-14 14:29:13,buy,1.73,39700,-397,-39700,-1737
2025-04-14 14:34:39,buy,1.72,9933,0,0,-1737
2025-04-14 14:34:39,buy,1.72,29767,0,-9933,-1737
2025-04-14 14:40:04,sell,1.71,2532,0,-2532,-1737
2025-04-14 14:40:08,sell,1.71,12222,0,-14754,-1737
2025-04-14 14:40:08,sell,1.71,24946,0,-39700,-1737
2025-04-14 14:41:44,buy,1.7,519,5,-39181,-1732
2025-04-14 14:42:41,buy,1.71,1928,0,-37253,-1732
2025-04-14 14:43:11,buy,1.71,3667,0,-33586,-1732
2025-04-14 14:43:48,buy,1.71,3545,0,-30041,-1732
2025-04-14 14:44:29,buy,1.71,3360,0,-26681,-1732
2025-04-14 14:44:30,buy,1.71,2748,0,-23933,-1732
2025-04-14 14:44:36,buy,1.71,5000,0,-18933,-1732
2025-04-14 14:44:39,buy,1.71,18933,0,0,-1732
2025-04-15 10:00:23,sell,1.71,27763,0,-27763,-1732
2025-04-15 10:00:23,buy,1.71,23301,0,-4462,-1732
2025-04-15 10:00:23,sell,1.71,11937,0,-16399,-1732
2025-04-15 10:00:23,buy,1.71,16399,0,0,-1732
2025-04-15 10:04:44,buy,1.72,2197,0,2197,-1732
2025-04-15 10:04:48,buy,1.72,5700,0,7897,-1732
2025-04-15 10:05:18,buy,1.72,31803,0,39700,-1732
2025-04-15 10:13:57,buy,1.7,3600,0,43300,-1732
2025-04-15 10:13:57,buy,1.7,1108,0,44408,-1732
2025-04-15 10:14:01,buy,1.7,13892,0,58300,-1732
2025-04-15 10:14:10,buy,1.7,11108,0,69408,-1732
2025-04-15 10:14:10,buy,1.7,9992,0,79400,-1732
2025-04-15 10:18:18,sell,1.71,39700,0,39700,-1732
2025-04-15 10:25:20,buy,1.7,39700,0,79400,-1732
2025-04-15 10:27:34,sell,1.71,39700,198,39700,-1534
2025-04-15 10:28:33,buy,1.71,14079,0,53779,-1534
2025-04-15 10:28:44,buy,1.71,10921,0,64700,-1534
2025-04-15 10:28:44,buy,1.71,1000,0,65700,-1534
2025-04-15 10:28:44,buy,1.71,10000,0,75700,-1534
2025-04-15 10:28:47,buy,1.71,3700,0,79400,-1534
2025-04-15 10:40:34,sell,1.7,32522,-244,46878,-1778
2025-04-15 10:40:38,sell,1.7,7178,-54,39700,-1831
2025-04-15 10:44:58,buy,1.7,8714,0,48414,-1831
2025-04-15 10:46:17,buy,1.7,30986,0,79400,-1831
2025-04-15 11:15:01,sell,1.7,15620,-59,39700,-1980
2025-04-15 11:15:01,sell,1.7,3800,-14,65460,-1884
2025-04-15 11:15:01,sell,1.7,10140,-38,55320,-1922
2025-04-15 11:15:01,sell,1.7,3000,-11,69260,-1869
2025-04-15 11:15:01,sell,1.7,7140,-27,72260,-1858
2025-04-15 11:30:06,buy,1.7,4572,0,44272,-1980
2025-04-15 11:30:06,buy,1.7,2630,0,46902,-1980
2025-04-15 11:33:49,buy,1.69,10493,0,57395,-1980
2025-04-15 11:33:49,buy,1.69,22005,0,79400,-1980
2025-04-15 11:39:29,sell,1.7,39700,88,39700,-1892
2025-04-15 11:43:00,sell,1.71,23776,290,15924,-1602
2025-04-15 11:43:04,sell,1.71,1224,15,14700,-1587
2025-04-15 11:44:04,sell,1.71,924,11,0,-1407
2025-04-15 11:44:04,sell,1.71,13776,168,924,-1418
2025-04-15 11:54:38,buy,1.71,7929,0,7929,-1407
2025-04-15 11:54:39,buy,1.71,31771,0,39700,-1407
2025-04-15 12:17:32,buy,1.72,5171,0,44871,-1407
2025-04-15 12:17:32,buy,1.72,24143,0,69014,-1407
2025-04-15 12:17:35,buy,1.72,8164,0,77178,-1407
2025-04-15 12:17:35,buy,1.72,2222,0,79400,-1407
2025-04-15 12:56:14,sell,1.72,19000,95,60400,-1312
2025-04-15 12:56:16,sell,1.72,20700,104,39700,-1209
2025-04-15 13:05:34,sell,1.72,30487,152,0,-1010
2025-04-15 13:05:34,sell,1.72,9213,46,30487,-1163
2025-04-15 13:11:43,buy,1.71,39700,0,39700,-1010
2025-04-15 13:11:53,sell,1.71,5387,0,34313,-1010
2025-04-15 13:12:58,sell,1.71,20000,0,14313,-1010
2025-04-15 13:14:08,sell,1.71,14313,0,0,-1010
2025-04-15 13:24:07,sell,1.73,3925,0,-3925,-1010
2025-04-15 13:24:07,sell,1.73,35775,0,-39700,-1010
2025-04-15 13:29:48,sell,1.73,39700,0,-79400,-1010
2025-04-15 13:38:44,buy,1.72,3753,38,-45605,-672
2025-04-15 13:38:44,buy,1.72,22110,221,-49358,-710
2025-04-15 13:38:44,buy,1.72,7932,79,-71468,-931
2025-04-15 13:39:32,buy,1.72,5905,59,-39700,-613
2025-04-15 13:43:38,sell,1.72,20707,0,-60407,-613
2025-04-15 13:44:22,sell,1.72,18993,0,-79400,-613
2025-04-15 14:02:06,buy,1.71,6536,98,-72864,-515
2025-04-15 14:02:06,buy,1.71,1247,19,-71617,-496
2025-04-15 14:02:09,buy,1.71,31917,479,-39700,-18
2025-04-15 14:07:16,buy,1.71,9411,141,-30289,123
2025-04-15 14:07:16,buy,1.71,9594,144,-20695,267
2025-04-15 14:07:25,buy,1.71,406,6,-20289,273
2025-04-15 14:07:26,buy,1.71,300,5,-19989,278
2025-04-15 14:08:25,buy,1.7,3944,99,-16045,377
2025-04-15 14:10:19,buy,1.71,6345,95,0,617
2025-04-15 14:10:19,buy,1.71,9700,146,-6345,522
2025-04-15 14:11:50,sell,1.71,37192,0,-37192,617
2025-04-15 14:12:21,sell,1.71,1511,0,-38703,617
2025-04-15 14:13:50,sell,1.72,462,0,-39165,617
2025-04-15 14:13:50,sell,1.72,535,0,-39700,617
2025-04-15 14:55:00,buy,1.7,39700,407,0,1024
2025-04-16 10:00:04,buy,1.69,1226,0,1226,1024
2025-04-16 10:00:04,buy,1.69,350,0,1576,1024
2025-04-16 10:00:04,buy,1.69,9373,0,10949,1024
2025-04-16 10:00:06,buy,1.69,28751,0,0,1024
2025-04-16 10:00:06,sell,1.69,39700,0,-28751,1024
2025-04-16 10:07:45,sell,1.69,12634,0,-12634,1024
2025-04-16 10:08:02,sell,1.69,27066,0,-39700,1024
2025-04-16 10:12:06,sell,1.7,4139,0,-43839,1024
2025-04-16 10:12:08,sell,1.7,6000,0,-49839,1024
2025-04-16 10:12:08,sell,1.7,23000,0,-72839,1024
2025-04-16 10:12:13,sell,1.7,6000,0,-78839,1024
2025-04-16 10:12:13,sell,1.7,561,0,-79400,1024
2025-04-16 10:32:50,buy,1.69,6964,35,-72436,1059
2025-04-16 10:33:08,buy,1.69,3800,19,-68636,1078
2025-04-16 10:33:11,buy,1.69,15000,75,-53636,1153
2025-04-16 10:33:28,buy,1.69,2200,11,-51436,1164
2025-04-16 10:33:38,buy,1.69,11736,59,-39700,1223
2025-04-16 10:37:52,buy,1.67,2188,55,-37512,1277
2025-04-16 10:37:52,buy,1.67,10001,250,-27511,1527
2025-04-16 10:37:52,buy,1.67,27511,688,0,2215
2025-04-16 10:39:31,sell,1.68,39700,0,-39700,2215
2025-04-16 11:01:27,sell,1.69,39700,0,-79400,2215
2025-04-16 11:18:13,buy,1.69,39700,-198,-39700,2017
2025-04-16 11:51:04,buy,1.68,39700,199,0,2215
2025-04-16 12:17:15,sell,1.67,2500,0,-2500,2215
2025-04-16 12:17:20,sell,1.67,6516,0,-9016,2215
2025-04-16 12:17:20,sell,1.67,30684,0,-39700,2215
2025-04-16 12:27:46,sell,1.67,6472,0,-46172,2215
2025-04-16 12:28:03,sell,1.68,20319,0,-66491,2215
2025-04-16 12:28:03,sell,1.68,2500,0,-68991,2215
2025-04-16 12:28:03,sell,1.68,7181,0,-76172,2215
2025-04-16 12:47:48,sell,1.68,3228,0,-79400,2215
2025-04-16 13:04:08,buy,1.68,15293,-89,-64107,2126
2025-04-16 13:05:08,buy,1.68,7300,-42,-56807,2084
2025-04-16 13:05:08,buy,1.68,17107,-99,-39700,1984
2025-04-16 13:31:47,buy,1.67,39700,166,0,2151
2025-04-16 13:42:45,buy,1.67,25000,0,25000,2151
2025-04-16 13:43:53,buy,1.67,500,0,25500,2151
2025-04-16 13:46:12,buy,1.66,12927,0,38427,2151
2025-04-16 13:46:12,buy,1.66,712,0,39139,2151
2025-04-16 14:31:19,buy,1.66,4210,0,43349,2151
2025-04-16 14:31:23,buy,1.66,33753,0,77102,2151
2025-04-16 14:31:23,buy,1.66,1737,0,78839,2151
2025-04-16 14:41:00,sell,1.66,584,-2,78255,2149
2025-04-16 14:41:00,sell,1.66,39116,-127,39139,2022
2025-04-16 14:55:00,sell,1.66,39139,-127,0,1896
2025-04-17 10:01:09,sell,1.67,7000,0,-7000,1896
2025-04-17 10:01:09,sell,1.67,14000,0,-21000,1896
2025-04-17 10:01:09,sell,1.67,1000,0,-22000,1896
2025-04-17 10:01:09,sell,1.67,10692,0,-32692,1896
2025-04-17 10:01:09,sell,1.67,7008,0,-39700,1896
2025-04-17 10:04:55,buy,1.66,14587,146,-25113,2041
2025-04-17 10:05:02,sell,1.66,35413,0,-60526,2041
2025-04-17 10:05:02,buy,1.66,25113,104,-35413,2146
2025-04-17 10:05:13,sell,1.66,4287,0,-39700,2146
2025-04-17 10:10:36,sell,1.67,36000,0,-79400,2146
2025-04-17 10:10:36,sell,1.67,3700,0,-43400,2146
2025-04-17 10:10:47,buy,1.66,39700,272,-39700,2418
2025-04-17 10:13:42,sell,1.67,39700,0,-79400,2418
2025-04-17 10:17:53,buy,1.66,29650,250,-49750,2667
2025-04-17 10:18:01,buy,1.66,10050,85,-39700,2752
