timestamp,side,fill_price,fill_qty,realized_pnl,position,pnl
2025-04-14 10:01:40,buy,4.73,1100,0,1100,0
2025-04-14 10:03:42,buy,4.73,2300,0,3400,0
2025-04-14 10:10:35,sell,4.74,2514,25,886,25
2025-04-14 10:10:48,sell,4.74,886,9,0,34
2025-04-14 10:18:18,sell,4.74,3122,0,-3122,34
2025-04-14 10:18:22,sell,4.74,278,0,-3400,34
2025-04-14 10:43:11,buy,4.74,3400,0,0,34
2025-04-14 10:59:46,sell,4.77,598,0,-598,34
2025-04-14 11:00:15,sell,4.77,50,0,-648,34
2025-04-14 11:00:30,sell,4.77,200,0,-848,34
2025-04-14 11:00:43,sell,4.77,1053,0,-1901,34
2025-04-14 11:02:30,sell,4.77,1499,0,-3400,34
2025-04-14 11:15:26,buy,4.75,3400,68,0,102
2025-04-14 11:20:30,sell,4.78,300,0,-300,102
2025-04-14 11:21:10,sell,4.77,611,0,-1800,102
2025-04-14 11:21:10,sell,4.77,889,0,-1189,102
2025-04-14 11:23:44,sell,4.77,1600,0,-3400,102
2025-04-14 11:23:44,buy,4.77,2525,2,-875,104
2025-04-14 11:23:45,buy,4.77,875,1,0,105
2025-04-14 11:54:16,buy,4.8,3400,0,3400,105
2025-04-14 12:20:05,buy,4.81,780,0,4180,105
2025-04-14 12:25:16,buy,4.79,2620,0,6800,105
2025-04-14 12:39:58,sell,4.82,3400,77,3400,182
2025-04-14 12:43:54,buy,4.81,3400,0,6800,182
2025-04-14 12:51:00,sell,4.8,2537,-9,4263,173
2025-04-14 12:51:00,sell,4.8,863,-3,3400,170
2025-04-14 12:53:38,buy,4.8,154,0,3554,170
2025-04-14 12:53:38,buy,4.8,1530,0,5084,170
2025-04-14 12:53:38,buy,4.8,853,0,5937,170
2025-04-14 12:55:23,sell,4.8,3400,-7,2537,163
2025-04-14 13:30:52,buy,4.8,205,0,2742,163
2025-04-14 13:32:19,buy,4.8,300,0,3042,163
2025-04-14 13:33:14,buy,4.79,2059,0,5101,163
2025-04-14 13:34:57,buy,4.79,1,0,5102,163
2025-04-14 13:43:09,sell,4.8,4,0,5098,163
2025-04-14 13:43:09,sell,4.8,365,1,4733,164
2025-04-14 13:43:09,sell,4.8,3031,9,1702,173
2025-04-14 14:29:40,sell,4.82,3400,39,-1698,212
2025-04-14 14:32:51,buy,4.82,3400,0,1702,212
2025-04-14 14:39:09,buy,4.8,2825,0,4527,212
2025-04-14 14:39:09,buy,4.8,575,0,5102,212
2025-04-14 14:55:00,sell,4.8,5102,-34,0,178
2025-04-15 10:00:00,buy,4.8,43,0,1492,178
2025-04-15 10:00:00,buy,4.8,57,0,1449,178
2025-04-15 10:00:00,buy,4.8,206,0,1698,178
2025-04-15 10:00:00,buy,4.8,292,0,292,178
2025-04-15 10:00:00,buy,4.8,1100,0,1392,178
2025-04-15 10:17:26,buy,4.8,200,0,1898,178
2025-04-15 10:17:32,buy,4.8,3200,0,5098,178
2025-04-15 10:25:47,buy,4.79,1702,0,6800,178
