timestamp,side,fill_price,fill_qty,realized_pnl,position,pnl
2025-04-14 10:00:00,sell,16.24,964,0,-964,0
2025-04-14 10:00:00,buy,16.2,964,39,0,39
2025-04-14 10:00:00,sell,16.24,936,0,-936,39
2025-04-14 10:05:37,sell,16.28,1900,0,-2836,39
2025-04-14 10:08:53,buy,16.34,1900,-139,-936,-101
2025-04-14 10:09:17,sell,16.34,1900,0,-2836,-101
2025-04-14 10:10:05,buy,16.34,1900,-46,-936,-146
2025-04-14 10:13:07,sell,16.34,550,0,-1486,-146
2025-04-14 10:13:07,sell,16.34,1350,0,-2836,-146
2025-04-14 10:13:42,buy,16.34,1900,-15,-936,-162
2025-04-14 10:13:45,sell,16.36,1900,0,-2836,-162
2025-04-14 10:15:17,sell,16.36,210,0,-3046,-162
2025-04-14 10:15:24,buy,16.36,1900,-16,-1146,-178
2025-04-14 10:16:46,buy,16.36,1900,-10,754,-188
2025-04-14 10:18:10,buy,16.32,1900,0,2654,-188
2025-04-14 10:20:33,buy,16.22,255,0,2909,-188
2025-04-14 10:30:50,sell,16.32,1900,-3,1009,-191
2025-04-14 10:37:02,buy,16.28,138,0,1147,-191
2025-04-14 10:39:55,sell,16.28,361,0,-753,-233
2025-04-14 10:39:55,sell,16.28,1539,-42,-392,-233
2025-04-14 10:43:09,buy,16.26,1900,15,1147,-218
2025-04-14 10:46:32,sell,16.28,1632,23,-485,-195
2025-04-14 10:46:32,sell,16.28,268,0,-753,-195
2025-04-14 10:59:29,buy,16.26,1900,15,1147,-180
2025-04-14 11:16:30,buy,16.24,1414,0,2561,-180
2025-04-14 11:16:30,buy,16.24,486,0,3047,-180
2025-04-14 11:16:35,sell,16.24,508,-4,2539,-184
2025-04-14 11:16:44,sell,16.24,1118,-8,1147,-194
2025-04-14 11:16:44,sell,16.24,274,-2,2265,-186
2025-04-14 11:20:24,sell,16.26,15,0,1132,-194
2025-04-14 11:22:20,sell,16.26,259,3,873,-191
2025-04-14 11:22:20,sell,16.26,1286,11,-413,-180
2025-04-14 11:23:25,sell,16.26,1900,0,-2313,-180
2025-04-14 11:26:43,sell,16.26,61,0,-2374,-180
2025-04-14 11:26:43,sell,16.26,213,0,-2587,-180
2025-04-14 11:26:43,sell,16.26,61,0,-2648,-180
2025-04-14 11:26:58,sell,16.26,1152,0,-3800,-180
2025-04-14 11:38:29,buy,16.3,1900,-76,-1900,-256
2025-04-14 11:41:17,buy,16.28,1900,-38,0,-294
2025-04-14 11:51:11,sell,16.28,27,0,-27,-294
2025-04-14 11:51:11,sell,16.28,276,0,-303,-294
2025-04-14 11:51:11,sell,16.28,1131,0,-1434,-294
2025-04-14 11:51:37,sell,16.28,58,0,-1492,-294
