security,trades,realized_pnl,position,market_dates,strategy_dates,error
SPINNEYS,1724,-23.11000000000002,0,136,134,
MODON,6802,122.7386745169138,0,136,136,
PARKIN,11330,-7.059999999999533,0,136,136,
TALABAT,12083,413.20472197115555,0,136,136,
MULTIPLY,17290,-448.8400000000104,0,136,136,
EAND,15256,14.949864996436858,0,136,135,
ADNOCLS,9639,70.0006347222209,0,136,136,
EMIRATES,20532,-170.0000000000145,0,136,136,
FAB,16431,-96.000000000015,0,136,136,
SALIK,31031,-601.7600000000406,0,136,136,
ADIB,20626,49.57164342715194,0,136,136,
ADNOCDRI,13423,20.919999999999554,0,136,136,
ADNOCGAS,16211,383.48000000000036,0,136,136,
ADCB,23816,226.75999999999516,0,136,135,
EMAAR,23378,-3866.981514094539,0,136,136,
ALDAR,20724,172.6449999999886,0,136,136,
