timestamp,side,fill_price,fill_qty,realized_pnl,position,pnl
2025-04-14 10:10:51,buy,16.68,829,0,829,0
2025-04-14 10:10:51,buy,16.68,99,0,928,0
2025-04-14 10:11:35,sell,16.7,935,19,-7,19
2025-04-14 10:13:29,sell,16.7,1212,0,-1219,19
2025-04-14 10:25:14,buy,16.62,822,66,-397,84
2025-04-14 10:25:14,buy,16.62,1278,32,881,116
2025-04-14 10:27:07,sell,16.6,1926,-18,-1045,98
2025-04-14 10:29:03,buy,16.54,58,3,-987,102
2025-04-14 10:29:03,buy,16.54,194,12,-793,114
2025-04-14 10:29:04,buy,16.54,983,48,190,161
2025-04-14 10:29:10,sell,16.56,2100,4,-1910,165
2025-04-14 10:34:06,sell,16.58,2100,0,-4010,165
2025-04-14 10:34:40,buy,16.6,1152,-34,-2858,131
2025-04-14 10:34:48,buy,16.6,174,-5,-2564,122
2025-04-14 10:34:48,buy,16.6,120,-4,-2738,127
2025-04-14 10:37:11,buy,16.6,2100,-62,-464,60
2025-04-14 10:43:36,sell,16.62,2100,0,-2564,60
2025-04-14 10:58:01,buy,16.58,35,1,-2529,61
2025-04-14 10:58:01,buy,16.58,1474,46,-1055,107
2025-04-14 10:58:01,buy,16.58,253,8,-802,115
2025-04-14 11:01:14,sell,16.58,1090,0,-1892,115
2025-04-14 11:01:14,sell,16.58,753,0,-2645,115
2025-04-14 11:01:14,sell,16.58,257,0,-2902,115
2025-04-14 11:02:40,sell,16.58,1298,0,-4200,115
2025-04-14 11:05:04,buy,16.54,362,17,-3838,132
2025-04-14 11:05:11,sell,16.58,362,0,-4200,132
2025-04-14 11:05:47,buy,16.6,1107,-16,-3093,115
2025-04-14 11:07:26,sell,16.56,1107,0,-4200,115
2025-04-14 11:10:17,buy,16.56,2100,39,-2100,155
2025-04-14 11:11:32,sell,16.58,825,0,-2925,155
2025-04-14 11:12:15,sell,16.58,784,0,-3709,155
2025-04-14 11:12:15,sell,16.58,323,0,-4032,155
2025-04-14 11:13:42,sell,16.58,168,0,-4200,155
2025-04-14 11:18:46,buy,16.6,1613,-33,-2587,121
2025-04-14 11:18:46,buy,16.6,487,-10,-2100,111
2025-04-14 11:19:47,sell,16.6,197,0,-2297,111
2025-04-14 11:20:28,buy,16.6,79,-1,-2218,110
2025-04-14 11:22:20,sell,16.6,197,0,-2415,110
2025-04-14 11:22:20,sell,16.62,1785,0,-4200,110
2025-04-14 11:24:10,buy,16.6,2100,-3,-2100,107
2025-04-14 11:33:39,sell,16.6,203,0,-2303,107
2025-04-14 11:33:39,sell,16.6,1897,0,-4200,107
2025-04-14 11:36:03,buy,16.62,412,-9,-3788,98
2025-04-14 11:38:06,sell,16.64,412,0,-4200,98
2025-04-14 11:40:39,buy,16.7,518,-50,-2100,-105
2025-04-14 11:40:39,buy,16.7,252,-24,-2618,-55
2025-04-14 11:40:39,buy,16.7,100,-10,-4100,89
2025-04-14 11:40:39,buy,16.7,1230,-119,-2870,-30
2025-04-14 11:51:00,buy,16.68,1831,-141,-269,-245
2025-04-14 11:51:00,buy,16.68,269,-21,0,-266
2025-04-14 11:51:37,sell,16.68,493,0,-493,-266
2025-04-14 11:51:37,sell,16.7,284,0,-777,-266
2025-04-14 11:52:28,sell,16.7,785,0,-1562,-266
2025-04-14 11:52:52,sell,16.7,1315,0,-2877,-266
2025-04-14 11:57:29,buy,16.68,154,3,-2723,-263
2025-04-14 11:57:29,buy,16.68,178,3,-2545,-261
2025-04-14 11:59:21,sell,16.7,177,0,-2899,-261
2025-04-14 11:59:21,sell,16.7,177,0,-2722,-261
2025-04-14 11:59:21,sell,16.7,1168,0,-4067,-261
2025-04-14 11:59:31,sell,16.7,133,0,-4200,-261
2025-04-14 12:00:33,buy,16.68,1564,28,-2636,-232
2025-04-14 12:00:33,buy,16.68,536,10,-2100,-223
2025-04-14 12:01:51,sell,16.7,526,0,-2626,-223
2025-04-14 12:03:41,buy,16.68,600,11,-2026,-212
2025-04-14 12:03:41,buy,16.68,1500,28,-526,-184
2025-04-14 12:05:02,sell,16.68,335,0,-861,-184
2025-04-14 12:05:02,sell,16.7,1139,0,-2000,-184
2025-04-14 12:05:02,sell,16.7,626,0,-2626,-184
2025-04-14 12:06:39,sell,16.7,100,0,-2726,-184
2025-04-14 12:06:39,sell,16.7,1474,0,-4200,-184
2025-04-14 12:12:20,buy,16.74,1654,-69,-2546,-254
2025-04-14 12:12:20,buy,16.74,446,-19,-2100,-272
2025-04-14 12:13:32,sell,16.78,1945,0,-4045,-272
2025-04-14 12:13:32,sell,16.78,155,0,-4200,-272
2025-04-14 12:16:32,buy,16.76,617,-13,-2100,-316
2025-04-14 12:16:32,buy,16.76,1483,-31,-2717,-303
2025-04-14 12:17:13,buy,16.72,1231,24,-869,-293
2025-04-14 12:17:13,buy,16.72,869,17,0,-276
2025-04-14 12:20:31,sell,16.76,216,0,-216,-276
2025-04-14 12:20:31,sell,16.78,1615,0,-1831,-276
2025-04-14 12:24:14,buy,16.76,2007,32,176,-244
2025-04-14 12:24:14,buy,16.76,93,0,269,-244
2025-04-14 12:26:39,buy,16.72,260,0,529,-244
2025-04-14 12:26:39,buy,16.72,1599,0,2128,-244
2025-04-14 12:26:39,buy,16.72,241,0,2369,-244
2025-04-14 12:28:17,sell,16.76,85,3,2284,-241
2025-04-14 12:28:17,sell,16.76,1915,68,369,-173
2025-04-14 12:28:17,sell,16.76,85,3,284,-170
2025-04-14 12:28:18,sell,16.76,15,1,269,-169
2025-04-14 12:28:19,buy,16.74,710,0,2369,-169
2025-04-14 12:28:19,buy,16.74,1191,0,1460,-169
2025-04-14 12:28:19,buy,16.74,199,0,1659,-169
2025-04-14 12:31:29,sell,16.76,235,5,2134,-164
2025-04-14 12:36:16,buy,16.76,1230,0,3364,-164
2025-04-14 12:36:16,buy,16.76,836,0,4200,-164
2025-04-14 12:37:01,sell,16.76,233,3,3967,-161
2025-04-14 12:37:01,sell,16.76,726,8,3241,-153
2025-04-14 12:37:01,sell,16.78,12,0,3229,-153
2025-04-14 12:37:58,buy,16.76,971,0,4200,-153
2025-04-14 12:43:34,sell,16.78,247,7,3953,-146
2025-04-14 12:43:34,sell,16.78,753,21,3200,-125
2025-04-14 12:43:50,sell,16.78,1100,31,2100,-93
2025-04-14 12:46:27,sell,16.78,40,1,2060,-92
2025-04-14 12:46:32,sell,16.8,500,24,1358,-62
2025-04-14 12:46:32,sell,16.8,1358,66,0,4
2025-04-14 12:46:32,sell,16.78,202,6,1858,-86
2025-04-14 12:47:37,sell,16.88,2000,0,-2000,4
2025-04-14 12:47:37,sell,16.88,100,0,-2100,4
2025-04-14 12:49:02,buy,16.8,1267,101,-833,105
2025-04-14 12:49:02,buy,16.8,833,67,0,172
2025-04-14 12:52:23,sell,16.84,1495,0,-1495,172
2025-04-14 12:52:29,sell,16.84,505,0,-2000,172
2025-04-14 12:52:29,sell,16.84,100,0,-2100,172
2025-04-14 12:53:20,sell,16.88,2000,0,-4100,172
2025-04-14 12:53:20,sell,16.88,100,0,-4200,172
2025-04-14 12:54:33,buy,16.84,39,1,-3899,178
2025-04-14 12:54:33,buy,16.84,1690,34,-2209,212
2025-04-14 12:54:33,buy,16.84,262,5,-3938,177
2025-04-14 12:55:29,sell,16.88,1711,0,-4200,212
2025-04-14 12:55:29,sell,16.84,280,0,-2489,212
2025-04-14 13:00:36,buy,16.86,777,5,-3423,217
2025-04-14 13:00:36,buy,16.86,1323,9,-2100,226
2025-04-14 13:01:14,sell,16.88,289,0,-2389,226
2025-04-14 13:01:14,sell,16.88,1811,0,-4200,226
2025-04-14 13:04:19,buy,16.9,2100,-56,-2100,170
2025-04-14 13:05:50,buy,16.9,2041,-54,-59,116
2025-04-14 13:05:50,buy,16.9,59,-2,0,114
2025-04-14 13:06:22,sell,16.9,256,0,-256,114
2025-04-14 13:07:39,buy,16.9,1744,0,1488,114
2025-04-14 13:07:39,buy,16.9,150,0,1638,114
2025-04-14 13:07:39,buy,16.9,206,0,1844,114
2025-04-14 13:13:17,sell,16.92,538,11,1306,125
2025-04-14 13:13:17,sell,16.92,350,7,956,132
2025-04-14 13:16:43,sell,16.94,108,4,648,144
2025-04-14 13:16:43,sell,16.94,200,8,756,140
2025-04-14 13:17:25,sell,16.96,205,12,443,157
2025-04-14 13:17:26,sell,16.96,827,27,-384,183
2025-04-14 13:17:57,buy,16.94,303,6,-81,189
2025-04-14 13:17:57,buy,16.94,181,2,100,191
2025-04-14 13:17:57,buy,16.94,1616,0,1716,191
2025-04-14 13:18:59,buy,16.94,122,0,1838,191
2025-04-14 13:18:59,buy,16.94,1978,0,3816,191
2025-04-14 13:20:29,buy,16.88,57,0,3873,191
2025-04-14 13:20:29,buy,16.88,327,0,4200,191
2025-04-14 13:23:03,sell,16.9,552,-19,3648,172
