timestamp,side,fill_price,fill_qty,realized_pnl,position,pnl
2025-04-14 10:02:51,buy,13.34,1784,0,1784,0
2025-04-14 10:06:18,buy,13.34,600,0,2384,0
2025-04-14 10:09:02,sell,13.36,2400,48,-16,48
2025-04-14 10:12:53,buy,13.4,415,-1,399,47
2025-04-14 10:14:31,buy,13.4,1454,0,1853,47
2025-04-14 10:14:31,buy,13.4,946,0,2799,47
2025-04-14 10:16:07,buy,13.34,152,0,2951,47
2025-04-14 10:25:29,sell,13.4,2400,7,551,54
2025-04-14 10:28:28,sell,13.38,1036,-9,-485,45
2025-04-14 10:28:28,sell,13.38,1364,0,-1849,45
2025-04-14 10:30:43,buy,13.36,2400,37,551,82
2025-04-14 10:33:43,sell,13.36,2400,0,-1849,82
2025-04-14 10:42:17,sell,13.34,138,0,-1987,82
2025-04-14 10:43:48,sell,13.36,960,0,-2947,82
2025-04-14 10:44:09,sell,13.38,1440,0,-4387,82
2025-04-14 10:44:45,buy,13.4,2400,-82,-1987,0
2025-04-14 10:49:10,sell,13.4,1568,0,-3555,0
2025-04-14 10:49:10,sell,13.4,832,0,-4387,0
2025-04-14 10:52:31,buy,13.38,930,4,-3457,5
2025-04-14 10:52:31,buy,13.38,1470,7,-1987,11
2025-04-14 11:04:32,sell,13.38,112,0,-2099,11
2025-04-14 11:04:32,sell,13.38,904,0,-3003,11
2025-04-14 11:13:01,sell,13.38,2,0,-3005,11
2025-04-14 11:13:28,sell,13.38,870,0,-3875,11
2025-04-14 11:13:28,sell,13.38,925,0,-4800,11
2025-04-14 11:26:38,buy,13.38,930,2,-3870,13
2025-04-14 11:26:38,buy,13.38,414,1,-3456,14
2025-04-14 11:26:38,buy,13.38,81,0,-3375,14
2025-04-14 11:26:38,buy,13.38,975,2,-2400,16
2025-04-14 11:44:04,sell,13.38,2388,0,-4788,16
2025-04-14 11:44:10,sell,13.38,12,0,-4800,16
2025-04-14 11:58:06,buy,13.36,34,1,-4766,17
2025-04-14 11:59:38,sell,13.38,34,0,-4800,17
2025-04-14 11:59:38,buy,13.36,1532,32,-3268,49
2025-04-14 11:59:38,buy,13.36,428,9,-2840,58
2025-04-14 11:59:38,buy,13.36,440,9,-2400,67
2025-04-14 12:06:15,sell,13.4,1389,0,-3789,67
2025-04-14 12:06:15,sell,13.4,58,0,-3847,67
2025-04-14 12:06:55,sell,13.4,223,0,-4070,67
2025-04-14 12:06:55,sell,13.4,223,0,-4293,67
2025-04-14 12:07:35,sell,13.4,507,0,-4800,67
2025-04-14 12:20:55,buy,13.44,1048,-52,-3752,15
2025-04-14 12:20:55,buy,13.44,1153,-57,-2599,-42
2025-04-14 12:20:55,buy,13.44,199,-10,-2400,-52
2025-04-14 12:26:37,sell,13.46,2400,0,-4800,-52
2025-04-14 12:36:45,buy,13.44,910,-13,-3890,-65
2025-04-14 12:36:45,buy,13.44,1490,-22,-2400,-87
2025-04-14 12:38:27,sell,13.46,840,0,-3240,-87
2025-04-14 13:15:58,buy,13.46,210,-5,-3030,-93
2025-04-14 13:15:58,buy,13.46,2190,-56,-840,-149
2025-04-14 13:16:43,sell,13.48,368,0,-1208,-149
2025-04-14 13:16:43,sell,13.48,66,0,-1274,-149
2025-04-14 13:17:04,sell,13.48,462,0,-1736,-149
