timestamp,side,fill_price,fill_qty,realized_pnl,position,pnl
2025-04-14 10:00:00,sell,16.24,964,0,-964,0
2025-04-14 10:00:00,sell,16.24,936,0,-1900,0
2025-04-14 10:05:37,sell,16.28,1900,0,-3800,0
2025-04-14 10:08:53,buy,16.34,1900,-152,-1900,-152
2025-04-14 10:09:17,sell,16.34,1900,0,-3800,-152
2025-04-14 10:10:05,buy,16.34,1900,-76,-1900,-228
2025-04-14 10:13:07,sell,16.34,550,0,-2450,-228
2025-04-14 10:13:07,sell,16.34,1350,0,-3800,-228
2025-04-14 10:13:42,buy,16.34,1900,-38,-1900,-266
2025-04-14 10:13:45,sell,16.36,1900,0,-3800,-266
2025-04-14 10:15:24,buy,16.36,1900,-38,-1900,-304
2025-04-14 10:16:46,buy,16.36,1900,-38,0,-342
2025-04-14 10:18:10,buy,16.32,1900,0,1900,-342
2025-04-14 10:20:33,buy,16.22,255,0,2155,-342
2025-04-14 10:30:50,sell,16.32,1900,22,255,-320
2025-04-14 10:37:02,buy,16.28,138,0,393,-320
2025-04-14 10:39:55,sell,16.28,1539,-7,-1146,-327
2025-04-14 10:39:55,sell,16.28,361,0,-1507,-327
2025-04-14 10:43:09,buy,16.26,1900,30,393,-297
2025-04-14 10:46:32,sell,16.28,1632,8,-1239,-289
2025-04-14 10:46:32,sell,16.28,268,0,-1507,-289
2025-04-14 10:59:29,buy,16.26,1900,30,393,-259
2025-04-14 11:16:30,buy,16.24,1414,0,1807,-259
2025-04-14 11:16:30,buy,16.24,486,0,2293,-259
2025-04-14 11:16:35,sell,16.24,508,-2,1785,-260
2025-04-14 11:16:44,sell,16.24,274,-1,1511,-261
2025-04-14 11:16:44,sell,16.24,1118,-4,393,-265
2025-04-14 11:20:24,sell,16.26,15,0,378,-265
2025-04-14 11:22:20,sell,16.26,1286,2,-1167,-259
2025-04-14 11:22:20,sell,16.26,259,4,119,-261
2025-04-14 11:23:25,sell,16.26,1900,0,-3067,-259
2025-04-14 11:26:43,sell,16.26,61,0,-3128,-259
2025-04-14 11:26:43,sell,16.26,213,0,-3341,-259
2025-04-14 11:26:43,sell,16.26,61,0,-3402,-259
2025-04-14 11:26:58,sell,16.26,398,0,-3800,-259
2025-04-14 11:38:29,buy,16.3,1900,-76,-1900,-335
2025-04-14 11:41:17,buy,16.28,1900,-38,0,-373
2025-04-14 11:51:11,sell,16.28,1131,0,-1434,-373
2025-04-14 11:51:11,sell,16.28,276,0,-303,-373
2025-04-14 11:51:11,sell,16.28,27,0,-27,-373
2025-04-14 11:51:37,sell,16.28,58,0,-1492,-373
2025-04-14 11:51:37,sell,16.28,28,0,-1520,-373
2025-04-14 11:51:37,sell,16.28,380,0,-1900,-373
2025-04-14 11:55:16,sell,16.28,968,0,-2868,-373
2025-04-14 11:55:16,sell,16.28,36,0,-2904,-373
2025-04-14 11:55:56,sell,16.28,896,0,-3800,-373
2025-04-14 11:57:20,buy,16.28,1900,0,-1900,-373
2025-04-14 12:06:37,sell,16.3,1810,0,-3800,-373
2025-04-14 12:06:37,sell,16.3,30,0,-1990,-373
2025-04-14 12:06:37,sell,16.3,30,0,-1930,-373
2025-04-14 12:06:37,sell,16.3,30,0,-1960,-373
2025-04-14 12:27:07,buy,16.34,1634,-82,-2166,-454
2025-04-14 12:27:07,buy,16.34,266,-13,-1900,-468
2025-04-14 12:39:58,sell,16.3,29,0,-3490,-468
2025-04-14 12:39:58,sell,16.3,89,0,-1989,-468
2025-04-14 12:39:58,sell,16.3,1472,0,-3461,-468
2025-04-14 12:39:58,sell,16.3,310,0,-3800,-468
2025-04-14 12:41:50,buy,16.3,568,-3,-1900,-477
2025-04-14 12:41:50,buy,16.3,1332,-7,-2468,-474
