security,trades,realized_pnl,position,market_dates,strategy_dates,error
SPINNEYS,1729,-23.11000000000002,0,136,134,
MODON,6793,122.7386745169138,0,136,136,
PARKIN,11295,-7.059999999999533,0,136,136,
TALABAT,12090,413.20472197115555,0,136,136,
EAND,15240,14.949864996436858,0,136,135,
MULTIPLY,17255,-448.8400000000104,0,136,136,
ADNOCLS,9598,70.0006347222209,0,136,136,
EMIRATES,20532,-170.0000000000145,0,136,136,
FAB,16419,-96.000000000015,0,136,136,
SALIK,31020,-601.7600000000406,0,136,136,
ADIB,20601,49.57164342715194,0,136,136,
ADNOCDRI,13379,20.919999999999554,0,136,136,
ADNOCGAS,16138,383.48000000000036,0,136,136,
ADCB,23798,226.75999999999516,0,136,135,
EMAAR,23378,-3866.981514094539,0,136,136,
ALDAR,20640,172.6449999999886,0,136,136,
