security,total_trades,auction_entries,vwap_exits,stop_losses,eod_flattens,realized_pnl,final_position
SPINNEYS,324,82,228,3,11,5236.960000000008,0
MODON,168,41,120,6,1,1340.729999999989,0
PARKIN,180,31,137,2,10,4620.91000000002,0
TALABAT,1333,93,1221,15,4,55791.25000000009,0
ADNOCLS,164,21,138,0,5,17198.490000000078,0
EAND,427,21,395,2,9,-39809.89999999938,0
MULTIPLY,397,56,330,7,4,37407.06000000007,0
EMIRATES,1517,47,1454,8,8,86732.84999999935,0
FAB,988,32,945,3,8,337825.5400000003,0
ADIB,373,24,338,3,8,23161.76000000014,0
ADNOCGAS,409,22,383,1,3,91686.1800000002,0
ADNOCDRI,346,23,315,2,6,21772.900000000176,0
ADCB,962,43,901,8,10,14810.280000000068,0
SALIK,669,33,623,6,7,5615.170000000057,0
EMAAR,1563,51,1496,4,12,344214.7500000021,0
ALDAR,849,42,789,5,13,-7410.439999999904,0
