security,total_trades,auction_entries,vwap_exits,stop_losses,eod_flattens,realized_pnl,final_position
SPINNEYS,324,82,228,3,11,5236.960000000008,0
MODON,168,41,120,6,1,1340.729999999989,0
PARKIN,180,31,137,2,10,4620.91000000002,0
TALABAT,1333,93,1221,15,4,55791.25000000009,0
ADNOCLS,164,21,138,0,5,17198.490000000078,0
EAND,340,21,308,2,9,-17645.69999999951,0
MULTIPLY,397,56,330,7,4,37407.06000000007,0
EMIRATES,1293,47,1231,8,7,95700.99999999946,0
FAB,696,32,654,3,7,184523.0800000008,0
ADNOCGAS,338,22,312,1,3,63515.20000000013,0
ADIB,310,24,275,3,8,9421.740000000113,0
ADNOCDRI,346,23,315,2,6,21772.900000000176,0
SALIK,669,33,623,6,7,5615.170000000057,0
ADCB,758,43,697,8,10,17817.860000000153,0
EMAAR,833,52,767,4,10,107836.0500000009,0
ALDAR,693,43,634,5,11,24984.220000000176,0
