strategy,interval_sec,interval_min,total_trades,total_pnl,total_volume,securities_traded,avg_pnl_per_trade,avg_pnl_per_security,avg_trade_size,trading_days,trades_per_day,sharpe_ratio,max_drawdown,max_drawdown_pct,drawdown_duration_days,calmar_ratio,win_rate,loss_rate,avg_win,avg_loss,profit_factor,total_wins,total_losses
v1,10,0.16666666666666666,106826,998980.5380000006,1449527366.1930044,16,9.351473779791442,62436.28362500004,13569.050289189938,136,785.4852941176471,11.922671442255298,-21620.580000001122,-2.2952289510673296,3,80647822.62754953,28.381667384344635,17.295414973882764,95.78541770172956,-103.11417738139946,1.524361373572532,30319,18476
v1,30,0.5,132936,967934.1990000007,1742321825.557024,16,7.281204481855936,60495.887437500045,13106.470975183727,136,977.4705882352941,11.979596191675997,-22661.58999999694,-3.6543149650447484,7,49079653.795501925,28.02100258771138,17.35195883733526,81.83793270025019,-90.19503160724491,1.4652347046347938,37250,23067
v1,60,1.0,146632,737547.4010000015,1853093391.115,16,5.029921170003829,46096.71256250009,12637.714762909869,136,1078.1764705882354,9.124963566873554,-26167.879999999466,-29.50743400629994,5,4631483.539436148,27.742239074690385,17.239756669758307,72.59449630516552,-87.64287013718216,1.3328997397381266,40679,25279
v1,120,2.0,153867,776389.628000001,1879914548.8790078,16,5.045848869478192,48524.35175000006,12217.789057296288,136,1131.375,9.691178036383397,-29217.426000001025,-3.789478787535556,8,37963118.18495396,27.659602123912208,16.7781265638506,69.75201483703566,-84.91580304653702,1.3541622364373507,42559,25816
v1,300,5.0,138271,437533.70999999915,1645703450.3580124,16,3.164320139436318,27345.856874999947,11902.0145247956,136,1016.6985294117648,5.684616691522416,-33998.76200000022,-7.376754462209437,10,10990256.37231415,26.56956267040811,16.51250081361963,69.10700133600264,-92.03395694998532,1.208218574369835,36738,22832
v1,600,10.0,111124,271928.55000000464,1344523870.3700082,16,2.4470730895216573,16995.53437500029,12099.31131321774,136,817.0882352941177,3.3390728707013717,-37493.5499999969,-12.277229817148669,26,4104082.2307419423,26.070875778409704,15.762571541701162,74.77266381809896,-108.1474248386698,1.1435501622605297,28971,17516
v2,10,0.16666666666666666,269053,1242331.7890000008,3394346300.394984,16,4.6174240354131,77645.73681250005,12615.902072807155,136,1978.3308823529412,14.949627751699266,-17348.59999999992,-3.403947496808695,4,67626416.94193693,23.550378549951127,18.484833843146145,63.32888008112508,-55.70386535529673,1.4484343537667173,63363,49734
v2,30,0.5,252238,1119660.4010000075,3142538140.7600083,16,4.438904530641725,69978.77506250047,12458.622970210707,136,1854.6911764705883,13.619167567390376,-13934.87000000017,-2.9142100424092288,4,71191329.05606635,23.678430688476755,18.829438863295774,62.78762359560398,-55.38252881084401,1.4256627482541113,59726,47495
v2,60,1.0,235822,1016197.414000002,2914167189.1409893,16,4.309171383501123,63512.33837500012,12357.486532812838,136,1733.985294117647,12.43868263626749,-20056.72000000172,-2.9662383325395703,10,63479525.9425909,23.373137366318662,19.095334616787238,63.8953015452955,-55.64272860640761,1.4055627649425284,55119,45031
v2,120,2.0,212420,797757.4979999997,2612600823.2600074,16,3.7555667922041223,49859.84362499998,12299.222404952487,136,1561.9117647058824,10.75397592130434,-40153.050000003655,-5.148062413932411,23,28713671.24224926,23.147067131155257,19.424253836738536,64.19646871079186,-57.1658144989439,1.3382164678883584,49169,41261
v2,300,5.0,171725,524575.3950000041,2142984625.782999,16,3.0547409812199975,32785.962187500256,12479.165094092294,136,1262.6838235294117,7.411493008048917,-53131.22999999806,-10.212372253397724,24,9517938.882764857,22.270490609986897,19.92371524239336,69.0395244777488,-61.8393692385287,1.2479356710401814,38244,34214
v2,600,10.0,136637,303404.7609999974,1738324990.1670144,16,2.2205168512189037,18962.797562499836,12722.212798634442,136,1004.6838235294117,4.53197551937133,-54534.47000000265,-16.33387929884281,26,3441871.7348667006,22.091380811932346,19.46983613516105,72.54059515518826,-70.90302235685296,1.1608522087727633,30185,26603
