timestamp,side,fill_price,fill_qty,realized_pnl,position,pnl,security
2025-04-14 10:24:40,buy,1.33,116500,0,116500,0,TALABAT
2025-04-14 12:03:52,sell,1.32,0,-1165,0,-1165,TALABAT
2025-04-14 12:33:57,buy,1.33,28527,0,28527,-1165,TALABAT
2025-04-14 12:43:10,sell,1.34,0,0,28507,-1165,TALABAT
2025-04-14 12:50:29,sell,1.34,0,40,24527,-1125,TALABAT
2025-04-14 12:50:29,sell,1.34,0,98,14717,-1027,TALABAT
2025-04-14 13:19:11,buy,1.33,567,0,15284,-1027,TALABAT
2025-04-14 13:39:26,sell,1.35,0,57,12437,-970,TALABAT
2025-04-14 14:04:55,buy,1.33,34305,0,46742,-970,TALABAT
2025-04-14 14:04:55,buy,1.33,56508,0,103250,-970,TALABAT
2025-04-14 14:04:55,buy,1.33,25687,0,128937,-970,TALABAT
2025-04-14 14:05:55,buy,1.32,29211,0,158148,-970,TALABAT
2025-04-14 14:40:11,buy,1.33,74852,0,233000,-970,TALABAT
2025-04-14 14:55:00,sell,1.32,0,-2038,0,-3008,TALABAT
2025-04-15 10:22:19,sell,1.33,9615,0,-9615,-3008,TALABAT
2025-04-15 10:22:19,sell,1.33,8944,0,-18559,-3008,TALABAT
2025-04-15 10:22:19,sell,1.33,77595,0,-96154,-3008,TALABAT
2025-04-15 10:22:19,sell,1.33,1558,0,-97712,-3008,TALABAT
2025-04-15 11:01:46,buy,1.33,0,0,-24380,-3008,TALABAT
2025-04-15 11:01:47,buy,1.33,18788,0,18788,-3008,TALABAT
2025-04-15 11:07:47,sell,1.34,0,177,1104,-2831,TALABAT
2025-04-15 11:07:47,sell,1.34,68366,11,-68366,-2820,TALABAT
2025-04-15 11:28:46,buy,1.33,0,23,-66070,-2797,TALABAT
2025-04-15 11:28:46,buy,1.33,0,45,-61541,-2752,TALABAT
2025-04-15 11:28:46,buy,1.33,0,292,-32330,-2460,TALABAT
2025-04-15 11:28:46,buy,1.33,0,292,-3119,-2167,TALABAT
2025-04-15 11:41:07,sell,1.33,116500,0,-119619,-2167,TALABAT
2025-04-15 12:32:46,buy,1.33,0,1,-114138,-2166,TALABAT
2025-04-15 12:32:46,buy,1.33,0,2,-108041,-2164,TALABAT
2025-04-15 12:32:46,buy,1.33,0,8,-78830,-2157,TALABAT
2025-04-15 12:32:47,buy,1.33,0,8,-46826,-2149,TALABAT
2025-04-15 12:32:56,buy,1.33,0,6,-23755,-2143,TALABAT
2025-04-15 12:33:02,buy,1.33,0,5,-3119,-2137,TALABAT
2025-04-15 12:46:20,sell,1.34,41036,0,-44155,-2137,TALABAT
2025-04-15 12:54:18,sell,1.33,29211,0,-73366,-2137,TALABAT
2025-04-15 12:54:18,sell,1.33,23177,0,-96543,-2137,TALABAT
2025-04-15 12:59:15,buy,1.33,0,105,-71815,-2032,TALABAT
2025-04-15 12:59:15,buy,1.33,0,104,-47365,-1928,TALABAT
2025-04-15 12:59:15,buy,1.33,0,96,-24762,-1831,TALABAT
2025-04-15 12:59:15,buy,1.33,0,65,-9612,-1767,TALABAT
2025-04-15 12:59:15,buy,1.33,0,37,-971,-1730,TALABAT
2025-04-15 12:59:15,buy,1.33,1084,4,1084,-1726,TALABAT
2025-04-15 12:59:15,buy,1.33,871,0,1955,-1726,TALABAT
2025-04-15 13:06:01,sell,1.33,114545,0,-114545,-1726,TALABAT
2025-04-15 13:15:10,buy,1.33,0,0,-36470,-1726,TALABAT
2025-04-15 13:15:10,buy,1.33,1955,0,1955,-1726,TALABAT
2025-04-15 13:53:50,sell,1.34,35896,20,-35896,-1706,TALABAT
2025-04-15 14:55:00,buy,1.33,0,359,0,-1347,TALABAT
2025-04-16 10:42:28,sell,1.32,116500,0,-116500,-1347,TALABAT
2025-04-16 10:46:07,sell,1.32,5000,0,-121500,-1347,TALABAT
2025-04-16 10:46:31,sell,1.32,8154,0,-129654,-1347,TALABAT
2025-04-16 10:46:31,sell,1.32,3784,0,-133438,-1347,TALABAT
2025-04-16 12:05:07,buy,1.3,0,70,-129938,-1277,TALABAT
2025-04-16 12:05:07,buy,1.3,0,200,-119938,-1077,TALABAT
2025-04-16 12:05:07,buy,1.3,0,23,-118795,-1055,TALABAT
2025-04-16 12:05:07,buy,1.3,0,97,-113950,-958,TALABAT
2025-04-16 12:39:34,sell,1.3,16461,0,-130411,-958,TALABAT
2025-04-16 12:39:34,sell,1.3,9756,0,-140167,-958,TALABAT
2025-04-16 12:39:34,sell,1.3,33360,0,-173527,-958,TALABAT
2025-04-16 12:39:34,sell,1.3,30882,0,-204409,-958,TALABAT
2025-04-16 12:39:34,sell,1.3,9214,0,-213623,-958,TALABAT
2025-04-16 12:39:34,sell,1.3,8594,0,-222217,-958,TALABAT
2025-04-16 12:39:34,sell,1.3,8233,0,-230450,-958,TALABAT
2025-04-16 12:52:48,buy,1.3,0,1152,-113950,194,TALABAT
