timestamp,side,fill_price,fill_qty,realized_pnl,position,pnl,security
2025-04-14 10:05:50,sell,4.96,998,0,-998,0,ADNOCDRI
2025-04-14 10:05:50,sell,4.96,3265,0,-4263,0,ADNOCDRI
2025-04-14 10:24:04,sell,4.94,5700,0,-9963,0,ADNOCDRI
2025-04-14 10:39:27,buy,4.92,0,143,-4963,143,ADNOCDRI
2025-04-14 10:41:42,sell,4.92,5700,0,-10663,143,ADNOCDRI
2025-04-14 10:57:42,sell,4.92,737,0,-11400,143,ADNOCDRI
2025-04-14 11:39:14,buy,4.94,0,-14,-9518,129,ADNOCDRI
2025-04-14 11:39:39,buy,4.94,0,-4,-8975,124,ADNOCDRI
2025-04-14 11:39:39,buy,4.92,0,41,-5700,165,ADNOCDRI
2025-04-14 11:40:25,buy,4.91,0,22,-4700,188,ADNOCDRI
2025-04-14 11:40:25,buy,4.91,0,105,0,293,ADNOCDRI
2025-04-14 12:19:19,sell,4.95,2724,0,-2724,293,ADNOCDRI
2025-04-14 12:19:39,sell,4.95,2976,0,-5700,293,ADNOCDRI
2025-04-14 12:27:02,sell,4.96,150,0,-5850,293,ADNOCDRI
2025-04-14 12:27:02,sell,4.96,2322,0,-8172,293,ADNOCDRI
2025-04-14 12:27:02,sell,4.96,3228,0,-11400,293,ADNOCDRI
2025-04-14 12:58:04,buy,4.95,0,8,-9773,301,ADNOCDRI
2025-04-14 12:58:04,buy,4.95,0,14,-6988,315,ADNOCDRI
2025-04-14 12:58:22,buy,4.94,0,19,-5700,334,ADNOCDRI
2025-04-14 13:13:46,buy,4.94,0,16,-4664,350,ADNOCDRI
2025-04-14 13:14:08,buy,4.95,0,14,-1897,364,ADNOCDRI
2025-04-14 13:14:31,sell,4.96,5700,0,-7597,364,ADNOCDRI
2025-04-14 13:21:43,buy,4.93,0,164,-1897,528,ADNOCDRI
2025-04-14 13:22:43,buy,4.91,3803,92,3803,620,ADNOCDRI
2025-04-14 13:25:46,sell,4.92,0,37,126,657,ADNOCDRI
2025-04-14 13:25:46,sell,4.92,1897,1,-1897,658,ADNOCDRI
2025-04-14 14:55:00,buy,4.93,0,-19,0,639,ADNOCDRI
2025-04-15 10:16:04,buy,4.9,1026,0,1026,639,ADNOCDRI
2025-04-15 10:16:04,buy,4.9,1,0,1027,639,ADNOCDRI
2025-04-15 10:16:04,buy,4.9,1528,0,2555,639,ADNOCDRI
2025-04-15 10:16:04,buy,4.9,1737,0,4292,639,ADNOCDRI
2025-04-15 10:16:04,buy,4.9,1408,0,5700,639,ADNOCDRI
2025-04-15 10:18:56,sell,4.89,0,-20,3708,619,ADNOCDRI
2025-04-15 10:18:56,sell,4.89,0,-30,741,590,ADNOCDRI
2025-04-15 10:18:56,sell,4.89,0,-7,0,582,ADNOCDRI
2025-04-15 10:25:20,buy,4.9,5700,0,5700,582,ADNOCDRI
2025-04-15 10:43:17,buy,4.89,5700,0,11400,582,ADNOCDRI
2025-04-15 10:51:11,sell,4.89,0,-14,8627,568,ADNOCDRI
2025-04-15 10:51:26,sell,4.89,0,-15,5700,554,ADNOCDRI
2025-04-15 11:23:34,sell,4.93,0,200,0,753,ADNOCDRI
2025-04-15 11:26:35,sell,4.95,3694,0,-3694,753,ADNOCDRI
2025-04-15 11:26:39,sell,4.95,2006,0,-5700,753,ADNOCDRI
2025-04-15 11:27:47,buy,4.95,0,0,-5297,753,ADNOCDRI
2025-04-15 11:40:52,sell,4.94,1607,0,-6904,753,ADNOCDRI
2025-04-15 11:40:57,sell,4.94,531,0,-7435,753,ADNOCDRI
2025-04-15 11:41:14,sell,4.94,517,0,-7952,753,ADNOCDRI
2025-04-15 11:41:30,sell,4.94,421,0,-8373,753,ADNOCDRI
2025-04-15 11:41:42,sell,4.94,747,0,-9120,753,ADNOCDRI
2025-04-15 11:41:42,sell,4.94,1877,0,-10997,753,ADNOCDRI
2025-04-15 11:45:22,buy,4.94,0,27,-5297,781,ADNOCDRI
2025-04-15 11:45:41,sell,4.94,971,0,-6268,781,ADNOCDRI
2025-04-15 11:46:09,sell,4.95,527,0,-6795,781,ADNOCDRI
2025-04-15 11:46:25,sell,4.95,449,0,-7244,781,ADNOCDRI
2025-04-15 11:57:00,sell,4.96,4156,0,-11400,781,ADNOCDRI
2025-04-15 12:02:06,buy,4.95,0,2,-5700,783,ADNOCDRI
2025-04-15 12:16:04,sell,4.97,1051,0,-6751,783,ADNOCDRI
2025-04-15 12:16:04,sell,4.97,4649,0,-11400,783,ADNOCDRI
2025-04-15 12:19:43,buy,4.98,0,-15,-10633,768,ADNOCDRI
2025-04-15 12:19:43,buy,4.98,0,-23,-9459,744,ADNOCDRI
2025-04-15 12:19:43,buy,4.98,0,-74,-5700,670,ADNOCDRI
2025-04-15 12:32:28,sell,4.97,5213,0,-10913,670,ADNOCDRI
