timestamp,side,fill_price,fill_qty,realized_pnl,position,pnl,security
2025-04-14 10:05:37,buy,16.28,1900,0,1900,0,ADIB
2025-04-14 10:05:37,sell,16.28,0,0,1400,0,ADIB
2025-04-14 10:05:37,sell,16.28,0,0,0,0,ADIB
2025-04-14 10:08:53,buy,16.34,1900,0,1900,0,ADIB
2025-04-14 10:09:17,sell,16.34,0,0,0,0,ADIB
2025-04-14 10:13:42,buy,16.34,1900,0,1900,0,ADIB
2025-04-14 10:13:45,sell,16.36,0,38,0,38,ADIB
2025-04-14 10:16:46,buy,16.36,1900,0,1900,38,ADIB
2025-04-14 10:20:33,buy,16.22,255,0,2155,38,ADIB
2025-04-14 10:30:50,sell,16.32,0,-45,255,-7,ADIB
2025-04-14 10:37:02,buy,16.28,138,0,393,-7,ADIB
2025-04-14 10:39:55,sell,16.28,1146,-16,-1146,-23,ADIB
2025-04-14 10:39:55,sell,16.28,361,0,-1507,-23,ADIB
2025-04-14 10:43:09,buy,16.26,393,30,393,7,ADIB
2025-04-14 10:46:32,sell,16.28,1008,8,-1008,15,ADIB
2025-04-14 10:46:32,sell,16.28,499,0,-1507,15,ADIB
2025-04-14 10:59:29,buy,16.26,393,30,393,45,ADIB
2025-04-14 11:16:30,buy,16.24,1414,0,1807,45,ADIB
2025-04-14 11:16:30,buy,16.24,486,0,2293,45,ADIB
2025-04-14 11:16:35,sell,16.24,0,-2,1785,44,ADIB
2025-04-14 11:16:44,sell,16.24,0,-1,1511,43,ADIB
2025-04-14 11:16:44,sell,16.24,0,-4,393,39,ADIB
2025-04-14 11:20:24,sell,16.26,0,0,378,39,ADIB
2025-04-14 11:22:20,sell,16.26,0,4,119,43,ADIB
2025-04-14 11:22:20,sell,16.26,1167,2,-1167,45,ADIB
2025-04-14 11:23:25,sell,16.26,340,0,-1507,45,ADIB
2025-04-14 11:26:43,sell,16.26,61,0,-1568,45,ADIB
2025-04-14 11:26:43,sell,16.26,213,0,-1781,45,ADIB
2025-04-14 11:26:43,sell,16.26,61,0,-1842,45,ADIB
2025-04-14 11:26:58,sell,16.26,1565,0,-3407,45,ADIB
2025-04-14 11:32:06,sell,16.26,274,0,-3681,45,ADIB
2025-04-14 11:32:06,sell,16.26,119,0,-3800,45,ADIB
2025-04-14 11:38:29,buy,16.3,0,-76,-1900,-31,ADIB
2025-04-14 11:51:11,sell,16.28,27,0,-1927,-31,ADIB
2025-04-14 11:51:11,sell,16.28,276,0,-2203,-31,ADIB
2025-04-14 11:51:11,sell,16.28,1131,0,-3334,-31,ADIB
2025-04-14 11:51:37,sell,16.28,58,0,-3392,-31,ADIB
2025-04-14 11:51:37,sell,16.28,28,0,-3420,-31,ADIB
2025-04-14 11:51:37,sell,16.28,380,0,-3800,-31,ADIB
2025-04-14 11:57:20,buy,16.28,0,-19,-1900,-50,ADIB
2025-04-14 12:06:37,sell,16.3,30,0,-1930,-50,ADIB
2025-04-14 12:06:37,sell,16.3,30,0,-1960,-50,ADIB
2025-04-14 12:06:37,sell,16.3,30,0,-1990,-50,ADIB
2025-04-14 12:06:37,sell,16.3,1810,0,-3800,-50,ADIB
2025-04-14 12:27:07,buy,16.34,0,-90,-2166,-139,ADIB
2025-04-14 12:27:07,buy,16.34,0,-15,-1900,-154,ADIB
2025-04-14 12:39:58,sell,16.3,89,0,-1989,-154,ADIB
2025-04-14 12:39:58,sell,16.3,1472,0,-3461,-154,ADIB
