security,trades,pnl,position,entry_price
EMAAR,14519,125050.3499999973,0,0
ALDAR,8530,-17097.439999999846,0,0
ADNOCDRI,7047,-11700.300000000092,0,0
ADNOCGAS,8858,105059.58000000073,0,0
ADNOCLS,5377,530.7399999999678,0,0
EAND,8216,-6278.020000000073,0,0
ADCB,10960,-44195.10000000034,0,0
ADIB,9690,-27611.100000000013,0,0
EMIRATES,11317,-32103.500000000004,0,0
TALABAT,7458,175502.5109999997,0,0
SPINNEYS,1319,7639.170000000042,0,0
FAB,8313,-11310.580000000435,0,0
SALIK,15845,-25523.11999999995,0,0
PARKIN,6571,3138.689999999968,0,0
MULTIPLY,8553,68183.9400000004,0,0
MODON,4064,-5881.059999999989,0,0
