security,trades,pnl,position,market_dates,strategy_dates
EMAAR,2334,179699.40000000226,0,136,135
ALDAR,5455,8963.450000000325,0,136,136
ADNOCDRI,3003,27085.690000000122,0,136,136
ADNOCGAS,2311,220731.47000000026,0,136,132
ADNOCLS,2366,1697.4900000000207,0,136,136
EAND,3067,15747.679999999846,0,136,135
ADCB,5420,41273.199999999786,0,136,135
ADIB,4875,3083.840000000008,0,136,136
EMIRATES,3813,20403.899999999932,0,136,136
TALABAT,1419,65261.772999999775,0,136,117
SPINNEYS,354,8235.750000000007,0,136,80
FAB,4417,16571.339999999618,0,136,136
SALIK,4719,52902.82999999965,0,136,136
PARKIN,2934,15803.600000000097,0,136,136
MULTIPLY,2884,137972.31999999972,0,136,135
MODON,1553,19469.009999999966,0,136,134
