security,v2_10s,v2_1_10s,v2_1_30s,v2_1_5s,v2_1_60s,v2_30s,v2_5s,v2_60s
ADCB,-70276.45999999912,-56482.739999999394,-50729.19999999926,-58209.55999999977,-46470.23999999995,-63506.33999999929,-73135.07999999964,-59936.73999999993
ADIB,-42899.260000000744,-24460.440000000734,-24937.32000000028,-28664.840000000535,-21054.079999999674,-39977.68000000034,-47923.14000000055,-35431.19999999974
ADNOCDRI,11179.869999999484,15435.96999999947,15537.659999999623,15349.889999999628,8850.73999999993,11411.219999999581,11118.249999999574,6787.0699999998715
ADNOCGAS,312424.6000000002,353334.5200000003,342671.0499999995,355121.1400000015,297221.1699999998,295573.38999999955,314179.35000000155,250352.02999999994
ADNOCLS,2958.910000000271,4718.1200000003,3052.380000000289,3576.7200000001835,3639.740000000042,1157.5100000002792,1927.770000000172,1322.6200000000485
ALDAR,-24353.829999999954,1635.840000000028,4076.939999999785,4430.69999999966,-4626.2900000001955,-24248.290000000292,-21292.560000000285,-27358.900000000165
EAND,2643.6999999997743,5538.59999999977,6439.519999999803,4930.96000000006,4195.559999999948,3458.5399999998212,1955.5000000000296,855.2399999998895
EMAAR,597345.6499999992,597345.6499999992,535446.6500000039,629068.9499999959,466583.9999999991,535446.6500000039,629068.9499999959,466583.9999999991
EMIRATES,-42199.7500000002,-44701.90000000016,-42648.099999999424,-40934.40000000078,-36145.49999999937,-43551.0499999994,-35362.10000000082,-39453.54999999937
FAB,-20973.36,-17308.540000000005,-23935.160000000047,-21629.2400000002,-20064.260000000562,-26053.460000000086,-25573.76000000033,-22707.80000000054
MODON,-43.92000000001108,437.1399999999737,1010.2299999999476,-334.0400000001148,-950.3000000001016,744.9299999999473,-804.5000000000947,-1838.800000000103
MULTIPLY,226864.22000000151,226755.7100000014,190009.16000000198,249324.88000000006,179024.43000000092,192010.01000000178,247248.35000000012,179718.61000000106
PARKIN,10137.359999999953,8312.399999999972,5962.290000000023,9217.480000000127,7277.020000000008,9305.059999999998,11203.490000000114,9425.94000000003
SALIK,11335.640000001506,9841.300000001282,1162.9700000013702,9534.000000001322,8176.410000001683,2773.9200000014566,12706.440000001357,11353.160000001499
SPINNEYS,15068.14000000002,14720.800000000025,12554.22000000002,15111.880000000034,11878.230000000025,13723.090000000017,15468.290000000028,12910.94000000003
TALABAT,284221.79999999946,270393.1799999995,240586.80000000025,262969.401,243108.56500000012,257831.0900000001,278362.6210000001,255255.03500000024
