security,scenario,strategy,interval_sec,pnl,trades
SPINNEYS,v2_5s,v2,5,15468.290000000028,1787
MODON,v2_5s,v2,5,-804.5000000000947,7207
PARKIN,v2_5s,v2,5,11203.490000000114,11858
TALABAT,v2_5s,v2,5,278362.6210000001,12896
ADNOCLS,v2_5s,v2,5,1927.770000000172,10373
EAND,v2_5s,v2,5,1955.5000000000296,16283
MULTIPLY,v2_5s,v2,5,247248.35000000012,19240
EMIRATES,v2_5s,v2,5,-35362.10000000082,22306
FAB,v2_5s,v2,5,-25573.76000000033,17939
SALIK,v2_5s,v2,5,12706.440000001357,33388
ADNOCGAS,v2_5s,v2,5,314179.35000000155,17993
ADIB,v2_5s,v2,5,-47923.14000000055,22663
ADNOCDRI,v2_5s,v2,5,11118.249999999574,14870
ADCB,v2_5s,v2,5,-73135.07999999964,26038
EMAAR,v2_5s,v2,5,629068.9499999959,25122
ALDAR,v2_5s,v2,5,-21292.560000000285,23346
SPINNEYS,v2_10s,v2,10,15068.14000000002,1763
MODON,v2_10s,v2,10,-43.92000000001108,7099
PARKIN,v2_10s,v2,10,10137.359999999953,11757
TALABAT,v2_10s,v2,10,284221.79999999946,12760
MULTIPLY,v2_10s,v2,10,226864.22000000151,18669
ADNOCLS,v2_10s,v2,10,2958.910000000271,10176
EAND,v2_10s,v2,10,2643.6999999997743,15963
EMIRATES,v2_10s,v2,10,-42199.7500000002,21792
FAB,v2_10s,v2,10,-20973.36,17527
SALIK,v2_10s,v2,10,11335.640000001506,32708
ADIB,v2_10s,v2,10,-42899.260000000744,22178
ADNOCDRI,v2_10s,v2,10,11179.869999999484,14893
ADNOCGAS,v2_10s,v2,10,312424.6000000002,17575
ADCB,v2_10s,v2,10,-70276.45999999912,25408
EMAAR,v2_10s,v2,10,597345.6499999992,24424
ALDAR,v2_10s,v2,10,-24353.829999999954,22520
SPINNEYS,v2_30s,v2,30,13723.090000000017,1729
MODON,v2_30s,v2,30,744.9299999999473,6793
PARKIN,v2_30s,v2,30,9305.059999999998,11295
TALABAT,v2_30s,v2,30,257831.0900000001,12090
ADNOCLS,v2_30s,v2,30,1157.5100000002792,9598
EAND,v2_30s,v2,30,3458.5399999998212,15240
MULTIPLY,v2_30s,v2,30,192010.01000000178,17255
FAB,v2_30s,v2,30,-26053.460000000086,16419
