security,trades,pnl,position,sharpe_ratio,max_drawdown,max_drawdown_pct,win_rate
SPINNEYS,1724,12554.22000000002,0,5.296416495565434,-1263.729999999999,-9.973970583128365,23.955916473317863
MODON,6802,1010.2299999999476,0,0.19876816512248419,-6186.990000000001,-202.2156491044631,23.081446633343134
PARKIN,11330,5962.290000000023,0,1.463246726255483,-8724.784551208906,-146.15970836370542,28.55251544571933
TALABAT,12083,240586.80000000025,0,7.609126827772594,-13492.158166386987,-5.508896757178778,21.807498137879666
ADNOCLS,9639,3052.380000000289,0,0.783619655640122,-5504.569999999825,-168.4879891277519,21.98360825811806
EAND,15256,6439.519999999803,0,1.4049147112977591,-4383.940000000037,-51.054528007007384,26.061877294179343
MULTIPLY,17290,190009.16000000198,0,7.562943315694222,-9439.667625623872,-4.9562988299907484,23.123192596876805
EMIRATES,20532,-42648.099999999424,0,-2.4725488255038717,-51489.49999999987,-582.3681769855176,21.468926553672315
FAB,16431,-23935.160000000047,0,-3.9349220360091928,-24998.477337499917,-2692.9966215513064,23.814740429675613
SALIK,31031,1162.9700000013702,0,0.0818488315147143,-18576.53636884698,-118.7226987911302,27.143823918017468
ADNOCGAS,16211,342671.0499999995,0,11.384555335468526,-11815.040000000066,-3.447924766332042,23.6321016593671
ADIB,20626,-24937.32000000028,0,-2.9208100470477754,-31270.90000000029,-81096.7323651477,23.42189469601474
ADNOCDRI,13423,15537.659999999623,0,2.5060486288993618,-6547.360000000049,-40.781908204332,21.850555017507265
ADCB,23816,-50729.19999999926,0,-3.834062294486222,-56919.05840384596,-1086.6276149184541,23.307860262008735
EMAAR,23378,535446.6500000039,0,7.939241510315751,-20476.250000000116,-3.7295993352520207,23.73599110274617
ALDAR,20724,4076.939999999785,0,0.665017689093246,-6018.639999999944,-145.28934078773887,22.543910441999614
