security,optimal_value,best_pnl,best_trades,pnl_15,pnl_30,pnl_45,pnl_60
EMAAR,60,170674.60000000073,485,101733.99999999981,100563.74999999999,114569.75000000028,170674.60000000073
ALDAR,15,24984.220000000176,693,24984.220000000176,18468.140000000152,-5004.4299999993045,4225.990000000516
ADNOCDRI,15,21772.900000000176,346,21772.900000000176,1301.4399999998914,-27470.99000000007,-36919.490000000194
ADNOCGAS,60,78503.97000000019,387,63515.20000000013,57410.40000000033,64422.14000000024,78503.97000000019
ADNOCLS,45,18648.91000000011,154,17198.490000000078,16544.69000000003,18648.91000000011,18175.450000000154
ADCB,15,17817.860000000153,758,17817.860000000153,-66684.4199999997,-32124.919999999624,-38584.23999999944
ADIB,60,54294.7399999999,421,9421.740000000113,26083.720000000085,45679.90000000001,54294.7399999999
FAB,30,220711.40000000104,808,184523.0800000008,220711.40000000104,176533.92000000077,154651.20000000097
MULTIPLY,15,37407.06000000007,397,37407.06000000007,31897.490000000027,26278.70000000009,20603.750000000087
EAND,60,15299.380000000321,434,-17645.69999999951,270.12000000024966,-2523.7399999996696,15299.380000000321
EMIRATES,30,154145.34999999942,1452,95700.99999999946,154145.34999999942,142836.94999999972,144168.14999999956
SALIK,60,23705.409999999905,678,5615.170000000057,-6341.99999999994,-89.65000000000146,23705.409999999905
PARKIN,60,9289.440000000026,288,4620.91000000002,1956.550000000016,6062.93000000002,9289.440000000026
MODON,15,1340.729999999989,168,1340.729999999989,-378.1299999999967,942.6000000000348,-3242.389999999964
SPINNEYS,60,5829.600000000009,376,5236.960000000008,5006.030000000006,4932.830000000007,5829.600000000009
TALABAT,60,60583.24000000015,1336,55791.25000000009,42031.28000000011,47661.0900000001,60583.24000000015
