security,param_value,pnl,trades,auction_entries,vwap_exits,stop_losses,eod_flattens
EMAAR,15,101733.99999999981,354,29,313,1,11
EMAAR,30,100563.74999999999,354,30,312,1,11
EMAAR,45,114569.75000000028,427,33,382,1,11
EMAAR,60,170674.60000000073,485,41,430,1,13
ALDAR,15,24984.220000000176,693,43,634,5,11
ALDAR,30,18468.140000000152,634,44,571,5,14
ALDAR,45,-5004.4299999993045,576,42,516,6,12
ALDAR,60,4225.990000000516,596,42,537,6,11
ADNOCDRI,15,21772.900000000176,346,23,315,2,6
ADNOCDRI,30,1301.4399999998914,308,26,272,4,6
ADNOCDRI,45,-27470.99000000007,443,35,393,6,9
ADNOCDRI,60,-36919.490000000194,456,39,399,7,11
ADNOCGAS,15,63515.20000000013,338,22,312,1,3
ADNOCGAS,30,57410.40000000033,322,22,293,1,6
ADNOCGAS,45,64422.14000000024,329,23,299,1,6
ADNOCGAS,60,78503.97000000019,387,24,358,1,4
ADNOCLS,15,17198.490000000078,164,21,138,0,5
ADNOCLS,30,16544.69000000003,157,23,129,0,5
ADNOCLS,45,18648.91000000011,154,23,126,0,5
ADNOCLS,60,18175.450000000154,199,32,160,2,5
ADCB,15,17817.860000000153,758,43,697,8,10
ADCB,30,-66684.4199999997,789,50,717,12,10
ADCB,45,-32124.919999999624,882,52,809,13,8
ADCB,60,-38584.23999999944,820,52,746,13,9
ADIB,15,9421.740000000113,310,24,275,3,8
ADIB,30,26083.720000000085,314,27,275,2,10
ADIB,45,45679.90000000001,402,28,363,3,8
ADIB,60,54294.7399999999,421,27,384,1,9
FAB,15,184523.0800000008,696,32,654,3,7
FAB,30,220711.40000000104,808,36,763,3,6
FAB,45,176533.92000000077,789,41,735,4,9
FAB,60,154651.20000000097,908,44,849,6,9
MULTIPLY,15,37407.06000000007,397,56,330,7,4
MULTIPLY,30,31897.490000000027,426,63,351,7,5
MULTIPLY,45,26278.70000000009,458,71,369,10,8
MULTIPLY,60,20603.750000000087,431,71,340,11,9
EAND,15,-17645.69999999951,340,21,308,2,9
EAND,30,270.12000000024966,384,22,351,2,9
EAND,45,-2523.7399999996696,345,21,314,2,8
EAND,60,15299.380000000321,434,25,398,2,9
EMIRATES,15,95700.99999999946,1293,47,1231,8,7
EMIRATES,30,154145.34999999942,1452,51,1386,9,6
EMIRATES,45,142836.94999999972,1366,51,1299,8,8
EMIRATES,60,144168.14999999956,1291,48,1227,7,9
SALIK,15,5615.170000000057,669,33,623,6,7
SALIK,30,-6341.99999999994,546,33,499,7,7
SALIK,45,-89.65000000000146,697,37,645,8,7
SALIK,60,23705.409999999905,678,37,627,5,9
PARKIN,15,4620.91000000002,180,31,137,2,10
PARKIN,30,1956.550000000016,178,30,135,4,9
PARKIN,45,6062.93000000002,240,33,194,4,9
PARKIN,60,9289.440000000026,288,39,235,4,10
MODON,15,1340.729999999989,168,41,120,6,1
MODON,30,-378.1299999999967,234,49,175,7,3
MODON,45,942.6000000000348,262,58,192,8,4
MODON,60,-3242.389999999964,262,60,187,11,4
SPINNEYS,15,5236.960000000008,324,82,228,3,11
SPINNEYS,30,5006.030000000006,329,81,233,4,11
SPINNEYS,45,4932.830000000007,361,86,261,4,10
SPINNEYS,60,5829.600000000009,376,89,274,3,10
TALABAT,15,55791.25000000009,1333,93,1221,15,4
TALABAT,30,42031.28000000011,1308,93,1192,19,4
TALABAT,45,47661.0900000001,1321,97,1202,18,4
TALABAT,60,60583.24000000015,1336,98,1218,15,5
