security,optimal_spread_pct,best_pnl,best_trades,pnl_0.5%,pnl_1.0%,pnl_1.5%,pnl_2.0%
EMAAR,0.5,101733.99999999981,354,101733.99999999981,29972.350000000028,0.0,0.0
ALDAR,0.5,24984.220000000176,693,24984.220000000176,-5163.349999999776,1624.3400000001448,0.0
ADNOCDRI,0.5,21772.900000000176,346,21772.900000000176,13435.280000000077,0.0,0.0
ADNOCGAS,0.5,63515.20000000013,338,63515.20000000013,0.0,0.0,0.0
ADNOCLS,0.5,17198.490000000078,164,17198.490000000078,3375.000000000048,0.0,0.0
ADCB,1.0,41941.54000000023,150,17817.860000000153,41941.54000000023,5164.899999999981,0.0
ADIB,1.0,27883.33999999994,50,9421.740000000113,27883.33999999994,0.0,0.0
FAB,0.5,184523.0800000008,696,184523.0800000008,92406.86000000022,46667.84000000001,0.0
MULTIPLY,0.5,37407.06000000007,397,37407.06000000007,28441.760000000013,18306.73000000005,8874.450000000046
EAND,1.5,0.0,0,-17645.69999999951,-11957.439999999939,0.0,0.0
EMIRATES,0.5,95700.99999999946,1293,95700.99999999946,3965.7999999998065,1919.8000000000648,0.0
SALIK,1.0,5730.819999999955,55,5615.170000000057,5730.819999999955,-7241.71,0.0
PARKIN,0.5,4620.91000000002,180,4620.91000000002,2126.269999999987,1560.24,0.0
MODON,0.5,1340.729999999989,168,1340.729999999989,1243.5099999999861,0.0,0.0
SPINNEYS,0.5,5236.960000000008,324,5236.960000000008,3256.950000000007,1785.450000000003,623.1800000000019
TALABAT,0.5,55791.25000000009,1333,55791.25000000009,43696.55000000005,9688.520000000011,0.0
