security,spread_pct,pnl,trades,auction_entries,vwap_exits,stop_losses,eod_flattens
EMAAR,0.5,101733.99999999981,354,29,313,1,11
EMAAR,1.0,29972.350000000028,31,3,27,0,1
EMAAR,1.5,0.0,0,0,0,0,0
EMAAR,2.0,0.0,0,0,0,0,0
ALDAR,0.5,24984.220000000176,693,43,634,5,11
ALDAR,1.0,-5163.349999999776,33,5,24,1,3
ALDAR,1.5,1624.3400000001448,4,2,0,0,2
ALDAR,2.0,0.0,0,0,0,0,0
ADNOCDRI,0.5,21772.900000000176,346,23,315,2,6
ADNOCDRI,1.0,13435.280000000077,56,3,52,0,1
ADNOCDRI,1.5,0.0,0,0,0,0,0
ADNOCDRI,2.0,0.0,0,0,0,0,0
ADNOCGAS,0.5,63515.20000000013,338,22,312,1,3
ADNOCGAS,1.0,0.0,0,0,0,0,0
ADNOCGAS,1.5,0.0,0,0,0,0,0
ADNOCGAS,2.0,0.0,0,0,0,0,0
ADNOCLS,0.5,17198.490000000078,164,21,138,0,5
ADNOCLS,1.0,3375.000000000048,4,1,3,0,0
ADNOCLS,1.5,0.0,0,0,0,0,0
ADNOCLS,2.0,0.0,0,0,0,0,0
ADCB,0.5,17817.860000000153,758,43,697,8,10
ADCB,1.0,41941.54000000023,150,10,135,2,3
ADCB,1.5,5164.899999999981,2,1,0,0,1
ADCB,2.0,0.0,0,0,0,0,0
ADIB,0.5,9421.740000000113,310,24,275,3,8
ADIB,1.0,27883.33999999994,50,2,48,0,0
ADIB,1.5,0.0,0,0,0,0,0
ADIB,2.0,0.0,0,0,0,0,0
FAB,0.5,184523.0800000008,696,32,654,3,7
FAB,1.0,92406.86000000022,110,9,98,1,2
FAB,1.5,46667.84000000001,13,1,12,0,0
FAB,2.0,0.0,0,0,0,0,0
MULTIPLY,0.5,37407.06000000007,397,56,330,7,4
MULTIPLY,1.0,28441.760000000013,68,10,56,1,1
MULTIPLY,1.5,18306.73000000005,27,3,24,0,0
MULTIPLY,2.0,8874.450000000046,8,1,7,0,0
EAND,0.5,-17645.69999999951,340,21,308,2,9
EAND,1.0,-11957.439999999939,4,2,0,0,2
EAND,1.5,0.0,0,0,0,0,0
EAND,2.0,0.0,0,0,0,0,0
EMIRATES,0.5,95700.99999999946,1293,47,1231,8,7
EMIRATES,1.0,3965.7999999998065,161,9,147,3,2
EMIRATES,1.5,1919.8000000000648,15,2,12,1,0
EMIRATES,2.0,0.0,0,0,0,0,0
SALIK,0.5,5615.170000000057,669,33,623,6,7
SALIK,1.0,5730.819999999955,55,5,48,1,1
SALIK,1.5,-7241.71,13,2,10,1,0
SALIK,2.0,0.0,0,0,0,0,0
PARKIN,0.5,4620.91000000002,180,31,137,2,10
PARKIN,1.0,2126.269999999987,39,8,27,1,3
PARKIN,1.5,1560.24,4,1,3,0,0
PARKIN,2.0,0.0,0,0,0,0,0
MODON,0.5,1340.729999999989,168,41,120,6,1
MODON,1.0,1243.5099999999861,11,3,7,1,0
MODON,1.5,0.0,0,0,0,0,0
MODON,2.0,0.0,0,0,0,0,0
SPINNEYS,0.5,5236.960000000008,324,82,228,3,11
SPINNEYS,1.0,3256.950000000007,143,39,95,2,7
SPINNEYS,1.5,1785.450000000003,45,13,28,0,4
SPINNEYS,2.0,623.1800000000019,13,5,4,0,4
TALABAT,0.5,55791.25000000009,1333,93,1221,15,4
TALABAT,1.0,43696.55000000005,338,28,306,1,3
TALABAT,1.5,9688.520000000011,38,2,35,0,1
TALABAT,2.0,0.0,0,0,0,0,0
